,G_Val,F_Val,F_total,F_percent
2022.06.07,"-371,437","-994,664","126,111,416",28.40%
2022.06.03,"+285,362","+46,363","127,025,980",28.60%
2022.06.02,"-269,064","+22,661","126,989,144",28.60%
2022.05.31,"-179,124","+180,297","127,041,704",28.61%
2022.05.30,"+160,558","+294,341","126,847,407",28.56%
2022.05.27,"+89,939","-180,745","126,548,966",28.50%
2022.05.26,"-61,518","-4,555","126,712,049",28.53%
2022.05.25,"+153,153","+193,810","126,745,107",28.54%
2022.05.24,"-313,849","-186,889","126,568,862",28.50%
2022.05.23,"+22,487","-138,965","126,773,910",28.55%
2022.05.20,"+358,283","+292,989","126,909,226",28.58%
2022.05.19,"-193,460","-90,286","126,591,868",28.51%
2022.05.18,"-114,379","-72,086","126,682,154",28.53%
2022.05.17,"+238,837","-23,223","126,660,368",28.52%
2022.05.16,"+7,490","+344,682","126,663,364",28.52%
2022.05.13,"+144,129","+57,384","126,303,502",28.24%
2022.05.12,"-418,240","-715,865","126,246,118",28.29%
2022.05.11,"+94,373","+62,357","126,922,325",28.44%
2022.05.10,"+219,994","-215,120","126,745,363",28.40%
2022.05.09,"-87,000","+68,629","126,947,494",28.45%
2022.05.06,"-775,001","-811,096","127,025,395",28.46%
2022.05.04,"+1,789","-265,265","127,766,491",28.63%
2022.05.03,"+2,580","+98,881","128,000,973",28.68%
2022.05.02,"-465,214","-182,877","127,848,239",28.65%
2022.04.29,"+78,018","-208,065","128,031,116",28.69%
2022.04.28,"+112,363","-127,019","128,239,181",28.74%
2022.04.27,"-196,913","-50,133","128,366,200",28.76%
2022.04.26,"-13,352","+58,967","128,289,424",28.75%
2022.04.25,"-227,728","-23,463","128,279,457",28.74%
2022.04.22,"-596,361","+135,884","128,281,517",28.75%
2022.04.21,"-221,783","-323,017","128,212,763",28.73%
2022.04.20,"-155,758","+107,215","128,509,789",28.80%
2022.04.19,"+31,770","-32,759","128,440,219",28.78%
2022.04.18,"-111,351","-49,166","128,378,696",28.77%
2022.04.15,"-124,106","-18,970","128,727,862",28.85%
2022.04.14,"+115,407","-234,494","128,772,549",28.86%
2022.04.13,"+95,612","-103,135","129,055,386",28.92%
2022.04.12,"-269,699","+93,684","129,149,736",28.94%
2022.04.11,"-511,793","-60,003","129,046,154",28.92%
2022.04.08,"-638,577","-62,745","129,123,806",28.93%
2022.04.07,"-632,110","-238,226","129,095,279",28.94%
2022.04.06,"-287,450","-102,019","129,337,388",28.99%
2022.04.05,"+141,634","+362,280","129,479,407",29.02%
2022.04.04,"-101,358","+62,670","129,210,176",28.96%
2022.04.01,"-132,756","+139,984","129,135,221",28.95%
2022.03.31,"+30,543","+4,185","128,985,237",28.91%
2022.03.30,"+87,297","+111,386","129,015,652",28.92%
2022.03.29,"+193,764","+60,942","128,989,486",28.91%
2022.03.28,"+41,987","+113,262","128,484,713",28.80%
2022.03.25,"-116,779","+90,645","128,444,684",28.79%
2022.03.24,"-137,524","-26,527","128,183,736",28.73%
2022.03.23,"+62,109","-88,684","128,221,679",28.74%
2022.03.22,"-5,337","+167,180","128,293,015",28.76%
2022.03.21,"-260,262","-182,203","128,093,295",28.71%
2022.03.18,"+35,883","+255,506","128,195,498",28.74%
2022.03.17,"+289,469","+637,548","127,828,920",28.65%
2022.03.16,"+109,824","-49,534","127,127,960",28.50%
2022.03.15,"+113,510","-63,895","127,043,924",28.48%
2022.03.14,"+206,027","-38,606","127,028,747",28.47%
2022.03.11,"+9,183","+166,128","126,976,103",28.46%
2022.03.10,"+630,095","+1,420,783","126,830,669",28.44%
2022.03.08,"+192,622","-13,056","125,373,006",28.11%
2022.03.07,"-317,510","-238,342","125,403,062",28.12%
2022.03.04,"-100,300","-480,637","125,687,504",28.18%
2022.03.03,"+31,232","-145,283","126,190,798",28.30%
2022.03.02,"+172,535","-27,747","126,292,330",28.32%
2022.02.28,"-80,264","-257,374","126,270,009",28.31%
2022.02.25,"+378,751","+783,450","126,528,183",28.37%
2022.02.24,"-78,344","-322,793","125,744,924",28.20%
2022.02.23,"+102,790","+29,644","126,144,637",28.29%
2022.02.22,"-52,145","-130,296","125,930,201",28.24%
2022.02.21,"+128,685","+276,055","125,904,197",28.23%
2022.02.18,"-61,250","+296,474","125,576,842",28.16%
2022.02.17,"+79,132","-391,032","125,170,869",28.07%
2022.02.16,"+339,560","+106,853","125,837,163",28.22%
2022.02.15,"+102,207","-208,720","125,525,978",28.15%
2022.02.14,"+299,131","-1,358,865","125,542,705",28.15%
2022.02.11,"-9,780","+150,106","126,721,561",28.42%
2022.02.10,"+7,519","-216,889","126,651,653",28.40%
2022.02.09,"+5,728","-366,508","126,981,809",28.48%
2022.02.08,"-7,971","-533,479","127,348,317",28.56%
2022.02.07,"-351,855","+246,649","127,865,236",28.68%
2022.02.04,"-41,177","+25,548","127,666,905",28.63%
2022.02.03,"-27,619","-462,426","127,707,016",28.64%
2022.01.28,"+145,530","-205,317","128,101,442",28.73%
2022.01.27,"-367,072","-357,689","128,199,384",28.75%
2022.01.26,"+150,831","-242,461","128,507,693",28.82%
2022.01.25,"+81,420","-558,572","128,738,102",28.87%
2022.01.24,"+241,804","-356,759","129,228,640",28.98%
2022.01.21,"-11,006","-333,992","129,464,004",29.03%
2022.01.20,"+251,358","-353,544","129,756,596",29.10%
2022.01.19,"-13,608","+138,731","130,110,140",29.18%
2022.01.18,"-51,961","-82,471","129,971,409",29.15%
2022.01.17,"-197,404","-93,349","130,025,732",29.16%
2022.01.14,"-491,781","-503,854","130,125,081",29.18%
2022.01.13,"-125,311","-266,264","130,476,935",29.26%
2022.01.12,"+100,906","-444,942","130,794,799",29.33%
2022.01.11,"+56,356","-863,717","131,259,883",29.44%
2022.01.10,"-29,148","-909,925","132,098,207",29.62%
2022.01.07,"-169,770","-823,100","133,250,464",29.88%
2022.01.06,"-564,694","-1,859,246","134,196,193",30.10%
2022.01.05,"-973,097","-1,210,097","136,052,939",30.52%
2022.01.04,"-587,790","-661,024","137,262,836",30.79%
2022.01.03,"-90,952","+287,178","137,923,860",30.94%
2021.12.30,"-419,061","-128,354","137,606,682",30.87%
2021.12.29,"-393,633","+48,531","137,315,839",30.80%
2021.12.28,"+361,049","+272,624","137,331,123",30.81%
2021.12.27,"-42,565","-28,681","137,100,867",30.75%
2021.12.24,"+189,382","+131,063","137,196,108",30.78%
2021.12.23,"-115,510","-63,631","137,123,800",30.76%
2021.12.22,"-100,692","+32,841","137,260,314",30.79%
2021.12.21,"+122,812","+130,859","137,261,574",30.79%
2021.12.20,"-437,915","-371,107","137,178,710",30.77%
2021.12.17,"+15,486","-293,280","137,555,261",30.86%
2021.12.16,"+64,832","+15,083","137,848,633",30.92%
2021.12.15,"-118,512","+161,402","137,985,074",30.95%
2021.12.14,"-250,689","-129,988","137,864,036",30.93%
2021.12.13,"-199,231","-222,360","137,994,855",30.96%
2021.12.10,"-55,690","+231,653","138,229,813",31.01%
2021.12.09,"+181,475","-48,682","137,998,160",30.96%
