,G_Val,F_Val,F_total,F_percent
2022.06.07,"-111,969","-27,144","88,255,425",53.80%
2022.06.03,"+19,397","-12,047","88,226,009",53.78%
2022.06.02,"-49,063","+68,958","88,229,640",53.78%
2022.05.31,"-11,574","+202,587","88,190,976",53.76%
2022.05.30,"+221,987","+36,921","88,022,455",53.66%
2022.05.27,"+19,920","+34,237","87,986,234",53.63%
2022.05.26,"-13,733","+52,212","87,946,192",53.61%
2022.05.25,"+34,874","-92,449","87,874,980",53.57%
2022.05.24,"-112,397","-191,767","87,942,594",53.61%
2022.05.23,"+41,464","-14,439","88,207,600",53.77%
2022.05.20,"+53,149","-10,297","88,196,061",53.76%
2022.05.19,"-52,881","+12,485","88,170,173",53.75%
2022.05.18,"-27,879","+13,815","88,143,388",53.73%
2022.05.17,"+57,648","-35,248","88,101,122",53.70%
2022.05.16,"-22,304","+14,508","88,274,615",53.81%
2022.05.13,"+114,378","-90,704","88,254,677",53.80%
2022.05.12,"-77,960","+9,175","88,333,630",53.85%
2022.05.11,"-10,511","+11,645","88,322,529",53.84%
2022.05.10,"+45,708","+14,159","88,337,717",53.85%
2022.05.09,"+26,467","+85,476","88,309,708",53.83%
2022.05.06,"-99,402","-213,809","88,227,307",53.78%
2022.05.04,"+12,700","-98,018","88,439,427",53.91%
2022.05.03,"-17,732","+9,573","88,525,262",53.96%
2022.05.02,"-109,134","-21,019","88,515,689",53.96%
2022.04.29,"+25,656","+5,494","88,507,086",53.95%
2022.04.28,"+32,893","-151,190","88,515,760",53.96%
2022.04.27,"-72,590","-213,853","88,678,771",54.06%
2022.04.26,"-14,264","-277,290","88,861,415",54.17%
2022.04.25,"-127,832","-190,384","89,105,017",54.32%
2022.04.22,"-351,270","-184,602","89,224,668",54.39%
2022.04.21,"-172,507","-55,778","89,375,830",54.48%
2022.04.20,"-62,144","+131,735","89,395,744",54.49%
2022.04.19,"+1,007","+54,743","89,258,619",54.41%
2022.04.18,"-71,447","+6,169","89,194,693",54.37%
2022.04.15,"-32,881","-64,236","89,228,763",54.39%
