,G_Val,F_Val,F_total,F_percent
2022.06.07,"-69,797","+12,700","28,117,077",19.97%
2022.06.03,"+23,149","+60,889","28,135,577",19.99%
2022.06.02,"-97,893","+2,531","28,070,088",19.94%
2022.05.31,"-64,475","+172,794","28,048,957",19.93%
2022.05.30,"+19,739","+6,415","27,816,163",19.76%
2022.05.27,"-14,776","+74,767","27,727,281",19.70%
2022.05.26,"+16,002","-2,114","27,647,843",19.64%
2022.05.25,"+210,757","+102,784","27,664,957",19.65%
2022.05.24,"-15,789","+18,459","27,562,173",19.58%
2022.05.23,"+31,026","-18,929","27,543,714",19.57%
2022.05.20,"+75,248","-31,788","27,552,988",19.57%
2022.05.19,"-24,425","+34,741","27,561,316",19.58%
2022.05.18,"-23,367","-45,431","27,526,575",19.55%
2022.05.17,"+10,615","-1,975","27,572,006",19.59%
2022.05.16,"-115,844","-97,905","27,570,489",19.60%
2022.05.13,"-262,574","-160,899","27,662,504",19.66%
2022.05.12,"-86,217","-50,145","27,824,449",19.78%
2022.05.11,"-16,402","-4,448","27,874,594",19.81%
2022.05.10,"+43,786","-49,362","27,874,745",19.81%
2022.05.09,"-3,558","-57,864","27,914,837",19.84%
2022.05.06,"+13,389","+46,745","27,973,566",19.88%
2022.05.04,"-11,166","-1,596","27,924,721",19.85%
2022.05.03,"-29,109","+49,354","27,916,645",19.84%
2022.05.02,"-6,518","+25,529","27,867,291",19.81%
2022.04.29,"+55,970",-370,"27,842,262",19.79%
2022.04.28,"+63,097","+138,908","27,841,632",19.79%
2022.04.27,"+174,104","-20,524","27,702,724",19.69%
2022.04.26,"+163,824","+317,509","27,708,792",19.70%
2022.04.25,"-20,459","+10,013","27,401,283",19.48%
2022.04.22,"-46,414","+47,788","27,361,270",19.45%
2022.04.21,"+61,922","-1,355","27,316,364",19.80%
2022.04.20,"-39,873","+35,641","26,738,952",19.38%
2022.04.19,"+48,546","+66,098","26,700,887",19.35%
2022.04.18,"-35,489","+19,049","26,601,961",19.28%
2022.04.15,"-110,024","-105,383","26,546,426",19.24%
2022.04.14,"+28,039","-36,581","26,647,787",19.32%
2022.04.13,"+32,826","+17,134","26,438,701",19.16%
2022.04.12,"-12,328","+59,179","26,378,723",19.12%
2022.04.11,"-13,675","+29,261","26,421,754",19.15%
2022.04.08,"-27,299","-29,562","26,392,493",19.13%
2022.04.07,"-53,484","+44,503","26,411,085",19.14%
2022.04.06,"-31,802","-14,586","26,354,981",19.10%
2022.04.05,+567,"+53,031","26,362,567",19.11%
