,G_Val,F_Val,F_total,F_percent
2022.06.07,"-371,437","-994,664","126,111,416",28.40%
2022.06.03,"+855,933","-482,688","3,020,353,584",50.59%
2022.06.02,"-3,211,366","-563,250","3,020,673,881",50.60%
2022.05.31,"-3,504,193","+1,410,395","3,021,798,337",50.62%
2022.05.30,"+1,227,540","+1,589,435","3,021,796,730",50.62%
2022.05.27,"+2,272,499","-1,523,239","3,020,994,714",50.60%
2022.05.26,"-1,975,909","-1,244,984","3,022,334,918",50.63%
2022.05.25,"+883,770","-2,261,361","3,023,795,143",50.65%
2022.05.24,"-1,564,764","-2,402,526","3,026,167,934",50.69%
2022.05.23,"-2,489","-302,930","3,028,809,560",50.74%
2022.05.20,"+2,468,619","-1,456,744","3,029,459,950",50.75%
2022.05.19,"-1,402,888","+14,309","3,030,794,918",50.77%
2022.05.18,"-1,138,543","+1,656,817","3,030,803,509",50.77%
2022.05.17,"+3,262,345","+180,057","3,029,334,692",50.74%
2022.05.16,"-285,577","-98,326","3,029,374,506",50.75%
2022.05.13,"+3,692,002","-1,242,156","3,028,851,086",50.74%
2022.05.12,"-1,126,520","-1,824,087","3,029,850,742",50.75%
2022.05.11,"-972,900","-270,031","3,031,551,829",50.78%
2022.05.10,"+107,882","-2,043,787","3,031,704,540",50.78%
2022.05.09,"-333,851","-1,014,061","3,033,311,477",50.81%
2022.05.06,"-1,022,344","-4,188,980","3,033,670,013",50.82%
2022.05.04,"-262,439","-306,543","3,037,899,793",50.89%
2022.05.03,"-149,467","+524,651","3,038,107,622",50.89%
2022.05.02,"-377,930","-831,919","3,037,644,971",50.88%
2022.04.29,"+3,071,613","+1,523,108","3,038,436,890",50.90%
2022.04.28,"-430,481","-3,783,774","3,037,059,382",50.87%
2022.04.27,"-1,216,735","-5,192,156","3,040,658,556",50.93%
2022.04.26,"+842,180","-4,535,816","3,045,105,055",51.01%
2022.04.25,"-1,531,424","-3,001,889","3,049,261,871",51.08%
2022.04.22,"-2,734,495","-449,462","3,052,203,489",51.13%
2022.04.21,"+1,997,294","-712,326","3,052,732,371",51.14%
2022.04.20,"-1,281,505","-1,934,989","3,052,739,125",51.14%
2022.04.19,"+1,483,612","-1,792,261","3,054,836,528",51.17%
2022.04.18,"-95,066","-1,244,426","3,055,918,638",51.19%
2022.04.15,"-3,606,452","-3,055,501","3,057,315,064",51.21%
2022.04.14,"-1,980,461","-2,766,634","3,059,796,940",51.25%
2022.04.13,"+1,232,276","-30,832","3,062,361,353",51.30%
2022.04.12,"-1,437,134","-2,630,999","3,062,235,805",51.30%
2022.04.11,"-457,725","-1,286,352","3,065,148,043",51.34%
2022.04.08,"-254,914","-5,012,754","3,066,657,575",51.37%
2022.04.07,"-2,450,272","-5,801,699","3,070,934,667",51.44%
2022.04.06,"-2,653,141","-5,295,763","3,075,816,897",51.52%
2022.04.05,"-1,218,680","-317,301","3,081,232,660",51.61%
2022.04.04,"-506,867","-1,353,312","3,081,006,161",51.61%
2022.04.01,"-4,258,150","-2,326,533","3,082,137,564",51.63%
2022.03.31,"+2,692","-3,222,419","3,084,994,797",51.68%
2022.03.30,"-165,695","-1,756,682","3,089,790,039",51.76%
2022.03.29,"+950,245","-635,791","3,091,884,171",51.79%
2022.03.28,"-74,841","-3,085,641","3,094,548,397",51.84%
2022.03.25,"-963,774","-4,160,539","3,098,667,379",51.91%
2022.03.24,"-20,670,071","+13,931,765","3,102,609,703",51.97%
2022.03.23,"+375,838","-549,686","3,088,812,825",51.74%
2022.03.22,"+95,872","+9,380","3,089,354,161",51.75%
2022.03.21,"-1,963,950","-2,578,748","3,089,271,501",51.75%
2022.03.18,"-1,035,441","-1,096,120","3,091,699,762",51.79%
2022.03.17,"+1,349,681","-355,216","3,091,552,597",51.79%
2022.03.16,"+1,152,180","-1,283,656","3,091,452,092",51.79%
2022.03.15,"-710,699","-2,206,840","3,092,555,334",51.80%
2022.03.14,"-1,168,555","+548,743","3,094,484,038",51.84%
2022.03.11,"-2,932,276","-3,719,940","3,093,568,319",51.82%
2022.03.10,"+2,607,367","-2,633,850","3,097,577,483",51.89%
2022.03.08,"-1,692,339","-2,947,618","3,099,620,605",51.92%
2022.03.07,"-5,494,412","-3,646,694","3,102,408,223",51.97%
2022.03.04,"-2,587,752","-3,452,952","3,107,060,417",52.05%
2022.03.03,"+1,346,735","+624,221","3,110,344,369",52.10%
2022.03.02,"-1,083,559","-796,010","3,110,034,648",52.10%
2022.02.28,"-1,426,438","-2,055,241","3,110,841,967",52.11%
2022.02.25,"+475,205","-1,776,256","3,113,269,708",52.15%
2022.02.24,"-2,608,608","-2,311,187","3,115,355,464",52.19%
2022.02.23,"-767,191","-1,054,113","3,117,740,151",52.23%
2022.02.22,"-2,153,799","+489,828","3,117,822,707",52.23%
2022.02.21,"-1,257,579","+117,857","3,117,625,028",52.22%
2022.02.18,"-144,739","-832,661","3,117,727,291",52.23%
2022.02.17,"+1,057,634","+2,034,949","3,118,576,239",52.24%
2022.02.16,"+426,711","+120,996","3,116,571,603",52.21%
2022.02.15,"+435,092","+2,316","3,116,067,143",52.20%
2022.02.14,"+814,643","-1,758,669","3,116,292,643",52.20%
2022.02.11,"-1,488,456","+1,756,169","3,117,353,123",52.22%
2022.02.10,"-756,605","+3,031,610","3,115,543,854",52.19%
2022.02.09,"+937,347","+1,408,182","3,112,900,044",52.14%
2022.02.08,"+89,689","+930,090","3,111,102,662",52.11%
2022.02.07,"-3,891,728","+347,016","3,110,031,872",52.10%
2022.02.04,"-416,870","+828,699","3,109,609,756",52.09%
2022.02.03,"+189,546","-1,670,004","3,109,572,363",52.09%
2022.01.28,"+923,680","-1,500,793","3,111,153,714",52.12%
2022.01.27,"-3,635,745","-1,581,015","3,112,838,107",52.14%
2022.01.26,"-73,303","-648,841","3,114,044,092",52.16%
2022.01.25,"-165,315","-1,500,651","3,114,698,940",52.17%
2022.01.24,"+3,039,274","-1,247,093","3,116,047,012",52.20%
2022.01.21,"-2,035,944","-804,108","3,117,247,105",52.22%
2022.01.20,"+385,779","-564,291","3,117,795,313",52.23%
