,G_Val,F_Val,F_total,F_percent
2022.06.07,"-878,864","+43,424","362,356,420",49.77%
2022.06.03,"-2,076","+10,121","362,393,893",49.78%
2022.06.02,"-689,000","+477,673","362,397,949",49.78%
2022.05.31,"-693,354","+1,062,773","361,843,034",49.70%
2022.05.30,"+159,186","-211,234","360,788,561",49.56%
2022.05.27,"-429,773","+1,242,022","361,063,618",49.60%
2022.05.26,"-1,025,548","-944,221","359,799,104",49.42%
2022.05.25,"-447,539","-62,273","360,893,325",49.57%
2022.05.24,"-380,521","-1,183,983","360,935,598",49.58%
2022.05.23,"-199,794","+195,256","362,119,581",49.74%
2022.05.20,"+364,203","-172,228","361,924,325",49.71%
2022.05.19,"-338,188","+114,989","362,078,633",49.74%
2022.05.18,"-79,042","+483,386","361,954,344",49.72%
2022.05.17,"+375,284",+199,"361,420,758",49.65%
2022.05.16,"+202,697","-515,568","361,450,510",49.65%
2022.05.13,"+1,008,065","+7,081","361,842,388",49.70%
2022.05.12,"+227,216","-410,383","361,738,307",49.69%
2022.05.11,"+508,703","-138,313","362,098,690",49.74%
2022.05.10,"-64,063","+364,778","362,206,454",49.75%
2022.05.09,"-91,925","+265,298","361,850,536",49.70%
2022.05.06,"-412,406","-61,927","361,689,718",49.68%
2022.05.04,"-43,431","-23,794","361,547,945",49.66%
2022.05.03,"-48,865","-286,912","361,610,892",49.67%
2022.05.02,"-121,092","-369,774","361,777,804",49.69%
2022.04.29,"+999,941","-87,083","362,147,578",49.75%
2022.04.28,"-108,973","+80,557","362,234,561",49.76%
2022.04.27,"-167,982","-558,370","362,217,504",49.76%
2022.04.26,"+53,911","+139,289","362,715,643",49.82%
2022.04.25,"-419,780","-431,832","362,641,854",49.81%
2022.04.22,"-543,016","-93,440","363,073,686",49.87%
2022.04.21,"+729,344","-185,855","363,183,120",49.89%
2022.04.20,"-142,622","+173,182","363,289,599",49.90%
2022.04.19,"+453,585","+215,339","362,947,097",49.86%
2022.04.18,"+296,923","-146,406","362,677,911",49.82%
2022.04.15,"-654,675","-326,753","362,874,317",49.85%
2022.04.14,"-641,460","-691,427","362,860,662",49.84%
2022.04.13,"+334,420","-480,241","363,703,602",49.96%
2022.04.12,"-46,186","-112,520","364,081,233",50.01%
2022.04.11,"-86,256","-4,919","364,263,828",50.04%
2022.04.08,"-286,119","-552,608","364,268,747",50.04%
2022.04.07,"-136,493","-506,428","364,766,109",50.11%
2022.04.06,"-560,600","-1,142,198","365,239,653",50.17%
2022.04.05,"-229,471","+58,387","366,381,851",50.33%
2022.04.04,"-138,931","+135,308","366,439,464",50.33%
2022.04.01,"-773,762","-80,546","366,210,906",50.30%
2022.03.31,"-215,197","-1,043,133","366,336,452",50.32%
2022.03.30,"-21,580","+430,249","367,519,961",50.48%
2022.03.29,"+470,525","-272,255","367,205,323",50.44%
2022.03.28,"+97,856","-407,073","366,855,551",50.39%
2022.03.25,"-227,138","-1,355,415","367,258,505",50.45%
2022.03.24,"-643,871","-53,164","368,539,301",50.62%
2022.03.23,"-54,066","-174,696","368,660,337",50.64%
2022.03.22,"-35,245","+303,046","368,818,479",50.66%
2022.03.21,"-131,592","-246,399","368,494,995",50.62%
2022.03.18,"+40,754","+217,800","368,646,658",50.64%
2022.03.17,"-290,046","+2,041,734","368,488,852",50.62%
2022.03.16,"+129,509","+193,354","366,392,349",50.33%
2022.03.15,"-100,777","-842,632","366,269,434",50.31%
2022.03.14,"-20,692","-231,154","366,923,498",50.40%
2022.03.11,"-566,928","-580,003","367,123,251",50.43%
2022.03.10,"+524,158","-613,402","367,718,479",50.51%
2022.03.08,"-270,119","-222,694","368,301,109",50.59%
2022.03.07,"-618,649","-915,855","368,470,803",50.61%
2022.03.04,"-495,198","-763,687","369,702,158",50.78%
2022.03.03,"+146,801","+446,251","370,473,345",50.89%
2022.03.02,"-259,820","+562,431","370,027,094",50.83%
2022.02.28,"-266,784","+276,697","369,516,606",50.76%
2022.02.25,"-253,611","+319,459","369,239,909",50.72%
2022.02.24,"-286,420","-1,123,118","368,920,450",50.68%
2022.02.23,"+63,198","-196,381","370,084,568",50.84%
2022.02.22,"-46,864","-218,698","370,194,607",50.85%
2022.02.21,"-306,773","+99,412","370,407,305",50.88%
2022.02.18,"-27,843","-111,804","370,245,503",50.86%
2022.02.17,"+36,447","+1,376,250","370,399,607",50.88%
2022.02.16,"+111,676","+233,341","368,633,671",50.64%
2022.02.15,"+10,042","-406,556","368,337,492",50.60%
2022.02.14,"+390,942","+991,006","368,743,048",50.65%
2022.02.11,"+108,847","+1,575,649","367,658,566",50.50%
2022.02.10,"+1,016,738","+1,787,649","366,082,917",50.29%
2022.02.09,"+192,052","+125,564","364,343,268",50.05%
2022.02.08,"-65,260","+718,962","364,216,604",50.03%
2022.02.07,"-471,847","+194,988","363,472,942",49.93%
2022.02.04,"-176,910","+313,163","363,285,653",49.90%
2022.02.03,"-308,996","+1,283,790","363,195,490",49.89%
2022.01.28,"+267,844","+732,095","361,911,700",49.71%
2022.01.27,"-263,653","-466,033","361,179,605",49.61%
2022.01.26,"-2,280","+73,961","361,624,618",49.67%
2022.01.25,"+156,773","+66,850","361,453,657",49.65%
2022.01.24,"+80,615","+5,878","361,362,571",49.64%
2022.01.21,"-1,056,606",+128,"361,243,693",49.62%
2022.01.20,"-258,531","-271,989","361,258,565",49.62%
2022.01.19,"-102,293","+495,822","361,530,554",49.66%
2022.01.18,"-316,404","+432,832","360,945,532",49.58%
2022.01.17,"+8,694","-334,131","360,546,880",49.53%
2022.01.14,"-109,150","-75,882","360,888,011",49.57%
2022.01.13,"-501,228","+804,482","360,996,893",49.59%
2022.01.12,"+206,812","-133,921","360,220,601",49.48%
2022.01.11,"-31,583","+1,088,642","360,434,522",49.51%
2022.01.10,"-645,317","+138,889","359,546,719",49.39%
2022.01.07,"-265,363","+747,482","359,253,330",49.35%
2022.01.06,"-631,135","+874,525","358,409,948",49.23%
2022.01.05,"-1,129,261","+437,201","357,527,323",49.11%
2022.01.04,"-325,799","+324,559","356,850,022",49.02%
2022.01.03,"-934,483","+75,276","356,626,282",48.99%
2021.12.30,"+1,165,597","+263,751","356,252,006",48.94%
2021.12.29,"-743,817","-56,352","356,105,255",48.92%
2021.12.28,"+779,199","+262,223","356,331,707",48.95%
2021.12.27,"+308,477","-209,874","355,703,085",48.86%
2021.12.24,"+611,980","+201,656","355,745,861",48.87%
2021.12.23,"+239,565","-48,836","355,559,039",48.84%
2021.12.22,"+356,646","+848,912","356,185,716",48.93%
2021.12.21,"+694,865","+792,292","355,790,434",48.87%
2021.12.20,"-72,487","+79,226","355,269,931",48.80%
2021.12.17,"-155,622","-88,768","355,131,705",48.78%
2021.12.16,"-135,694","+472,815","355,173,546",48.79%
2021.12.15,"+122,649","+569,789","354,813,704",48.74%
2021.12.14,"-143,587","+90,162","354,310,621",48.67%
2021.12.13,"+237,667","+545,870","354,264,832",48.66%
2021.12.10,"-388,148","-290,101","353,694,134",48.58%
2021.12.09,"+384,865","+829,870","355,030,959",48.77%
2021.12.08,"+330,002","-426,686","354,171,600",48.65%
2021.12.07,"+519,010","+839,374","354,398,286",48.68%
2021.12.06,"+195,101","+51,774","353,561,466",48.57%
2021.12.03,"+10,691","-341,639","353,274,692",48.53%
2021.12.02,"+426,484","+910,664","353,549,239",48.56%
2021.12.01,"+299,194","-16,846","352,707,356",48.45%
2021.11.30,"+344,479","-115,613","352,676,621",48.44%
2021.11.29,"+929,657","-52,748","352,686,499",48.45%
2021.11.26,"+41,458","+295,683","352,724,129",48.45%
2021.11.25,"-112,657","-24,492","352,481,801",48.42%
2021.11.24,"-209,297","+446,008","352,502,897",48.42%
2021.11.23,"-212,015","+516,736","352,064,758",48.36%
2021.11.22,"+1,528,000","+2,369,627","351,603,386",48.30%
2021.11.19,"+106,411","+503,923","349,258,675",47.97%
2021.11.18,"-182,973","+398,400","348,744,459",47.90%
2021.11.17,"-482,911","+421,890","348,522,132",47.87%
2021.11.16,"+164,242","+416,316","348,118,187",47.82%
2021.11.15,"+623,315","+1,520,788","347,705,008",47.76%
2021.11.12,"+128,448","-230,804","345,974,146",47.52%
2021.11.11,"+35,336","+115,415","346,203,201",47.56%
2021.11.10,"+40,001","+405,366","346,111,062",47.54%
2021.11.09,"+292,182","+519,213","345,694,443",47.49%
2021.11.08,"+23,751","+307,024","344,800,089",47.36%
