Date,Open,High,Low,Close,Volume,Change
2010-01-04,12665,13292,12624,13045,0,0.04002232320816401
2010-01-05,13167,13333,13083,13212,0,0.012801839785358426
2010-01-06,13331,13873,13164,13504,0,0.022101120193763313
2010-01-07,13625,13625,13083,13212,0,-0.02162322274881512
2010-01-08,13329,13496,12952,13380,0,0.012715712988192518
2010-01-11,13374,13708,13206,13338,0,-0.003139013452914785
2010-01-12,13376,13418,13084,13170,0,-0.012595591542959972
2010-01-13,13083,13291,12873,12878,0,-0.022171602126044077
2010-01-14,12956,13082,12831,13002,0,0.00962882435160739
2010-01-15,13249,14712,13249,14341,0,0.10298415628364865
2010-01-18,14418,15419,14082,14174,0,-0.011644934105013549
2010-01-19,14589,14839,14130,14383,0,0.014745308310991856
2010-01-20,14504,14796,14130,14216,0,-0.011610929569630835
2010-01-21,14167,14544,13749,14465,0,0.017515475520540225
2010-01-22,14336,14379,13918,14216,0,-0.017213964742481824
2010-01-25,13830,14249,13664,13880,0,-0.02363534046145188
2010-01-26,13791,14042,13164,13421,0,-0.033069164265129736
2010-01-27,13623,13833,13456,13588,0,0.01244318605171002
2010-01-28,13747,13831,13246,13713,0,0.009199293494259742
2010-01-29,13458,13458,13040,13338,0,-0.027346313716910986
2010-02-01,13249,13417,12831,13086,0,-0.018893387314439902
2010-02-02,13206,13959,13122,13965,0,0.06717102246675832
2010-02-03,14211,14672,13960,14634,0,0.04790547798066602
2010-02-04,14713,14923,14337,14843,0,0.014281809484761432
2010-02-05,14253,14546,14169,14383,0,-0.030991039547261345
2010-02-08,14712,15048,14044,14216,0,-0.011610929569630835
2010-02-09,14083,14503,13833,14465,0,0.017515475520540225
2010-02-10,14505,14630,14170,14424,0,-0.0028344279294849617
2010-02-11,14297,14506,14214,14509,0,0.005892956184137654
2010-02-12,14588,14795,14336,14634,0,0.008615342201392151
2010-02-16,14630,14797,14505,14592,0,-0.002870028700286964
2010-02-17,14754,15130,14671,15052,0,0.03152412280701755
2010-02-18,15132,15173,14796,14801,0,-0.016675524847196366
2010-02-19,14796,15048,14629,14884,0,0.00560772920748609
2010-02-22,15048,15088,14839,14927,0,0.0028890083310937342
2010-02-23,14796,14922,14589,14801,0,-0.008441079922288486
2010-02-24,14713,15048,14673,14843,0,0.0028376461049928192
2010-02-25,14922,15007,14546,14717,0,-0.008488849962945522
2010-02-26,14712,14963,14546,14969,0,0.01712305497044242
2010-03-02,15128,15169,15003,15094,0,0.008350591221858439
