Date,Close,Open,High,Low,Volume,Change
2010-01-04,3.388,3.358,3.409,3.353,400.0,0.018000000000000002
2010-01-05,3.396,3.381,3.411,3.369,240.0,0.0024
2010-01-06,3.478,3.436,3.499,3.433,110.0,0.0241
2010-01-07,3.412,3.499,3.523,3.411,330.0,-0.019
2010-01-08,3.388,3.401,3.422,3.38,310.0,-0.006999999999999999
2010-01-11,3.429,3.47,3.477,3.435,150.0,0.0121
2010-01-12,3.337,3.38,3.382,3.31,190.0,-0.0268
2010-01-13,3.388,3.312,3.366,3.312,140.0,0.015300000000000001
2010-01-14,3.376,3.414,3.428,3.378,230.0,-0.0034999999999999996
2010-01-15,3.355,3.36,3.365,3.349,220.0,-0.0062
2010-01-19,3.437,3.39,3.438,3.38,1290.0,0.024399999999999998
2010-01-20,3.346,3.38,3.386,3.334,150.0,-0.0265
2010-01-21,3.285,3.34,3.355,3.276,200.0,-0.0182
2010-01-22,3.338,3.288,3.345,3.288,130.0,0.0161
2010-01-25,3.384,3.373,3.375,3.37,180.0,0.0138
2010-01-26,3.329,3.35,3.35,3.297,160.0,-0.0163
2010-01-27,3.215,3.289,3.29,3.28,220.0,-0.0342
2010-01-28,3.09,3.197,3.214,3.089,350.0,-0.038900000000000004
2010-01-29,3.046,3.135,3.135,3.036,450.0,-0.014199999999999999
2010-02-01,3.079,3.03,3.104,2.996,440.0,0.0108
2010-02-02,3.085,3.075,3.116,3.075,140.0,0.0019
2010-02-03,2.968,3.065,3.065,2.976,220.0,-0.0379
2010-02-04,2.876,2.986,2.986,2.875,170.0,-0.031
2010-02-05,2.854,2.86,2.885,2.86,100.0,-0.0076
2010-02-08,2.909,2.874,2.901,2.872,90.0,0.019299999999999998
2010-02-09,2.983,2.943,2.997,2.923,330.0,0.0254
2010-02-10,2.986,2.983,3.0,2.966,120.0,0.001
2010-02-11,3.13,3.046,3.136,3.017,270.0,0.0482
2010-02-12,3.079,3.105,3.105,3.035,110.0,-0.0163
2010-02-16,3.219,3.099,3.219,3.099,80.0,0.0455
2010-02-17,3.239,3.247,3.25,3.247,370.0,0.0062
2010-02-18,3.285,3.272,3.302,3.272,230.0,0.014199999999999999
2010-02-19,3.357,3.239,3.36,3.239,350.0,0.0219
2010-02-22,3.307,3.325,3.337,3.288,230.0,-0.0149
2010-02-23,3.214,3.275,3.275,3.211,90.0,-0.0281
2010-02-24,3.236,3.22,3.224,3.205,150.0,0.0068000000000000005
2010-02-25,3.192,3.226,3.269,3.151,15380.0,-0.013600000000000001
2010-02-26,3.268,3.21,3.28,3.188,3670.0,0.023799999999999998
2010-03-01,3.333,3.359,3.466,3.308,1920.0,0.0199
2010-03-02,3.396,3.329,3.398,3.277,1340.0,0.0189
2010-03-03,3.419,3.384,3.454,3.337,970.0,0.0068000000000000005
2010-03-04,3.361,3.41,3.417,3.334,1560.0,-0.017
2010-03-05,3.402,3.37,3.44,3.358,320.0,0.012199999999999999
2010-03-08,3.397,3.417,3.45,3.38,270.0,-0.0015
2010-03-09,3.398,3.39,3.403,3.345,590.0,0.0003
2010-03-10,3.355,3.411,3.429,3.34,320.0,-0.0127
2010-03-11,3.366,3.36,3.378,3.327,330.0,0.0033
2010-03-12,3.369,3.356,3.385,3.356,580.0,0.0009
2010-03-15,3.307,3.35,3.35,3.285,490.0,-0.0184
2010-03-16,3.357,3.309,3.371,3.309,210.0,0.0151
2010-03-17,3.41,3.404,3.421,3.393,650.0,0.0158
2010-03-18,3.388,3.384,3.392,3.372,190.0,-0.006500000000000001
2010-03-19,3.365,3.389,3.413,3.352,190.0,-0.0068000000000000005
2010-03-22,3.373,3.377,3.377,3.304,360.0,0.0024
2010-03-23,3.369,3.381,3.395,3.372,230.0,-0.0012
2010-03-24,3.337,3.348,3.348,3.317,250.0,-0.0095
2010-03-25,3.371,3.336,3.375,3.336,210.0,0.0102
