Date,Close,Open,High,Low,Volume,Change
2010-01-04,5.884,5.705,5.894,5.705,78860.0,0.055999999999999994
2010-01-05,5.637,5.837,5.858,5.615,99490.0,-0.042
2010-01-06,6.009,5.69,6.075,5.65,140610.0,0.066
2010-01-07,5.806,6.033,6.108,5.763,135110.0,-0.0338
2010-01-08,5.749,5.827,5.853,5.621,101150.0,-0.0098
2010-01-11,5.454,5.576,5.625,5.371,120790.0,-0.0513
2010-01-12,5.591,5.485,5.605,5.354,109930.0,0.025099999999999997
2010-01-13,5.733,5.588,5.785,5.432,158390.0,0.0254
2010-01-14,5.588,5.754,5.804,5.483,160790.0,-0.0253
2010-01-15,5.691,5.587,5.732,5.519,105410.0,0.0184
2010-01-19,5.557,5.64,5.687,5.444,150330.0,-0.0235
2010-01-20,5.496,5.595,5.624,5.464,72280.0,-0.011000000000000001
2010-01-21,5.615,5.487,5.719,5.48,115560.0,0.0217
2010-01-22,5.819,5.658,5.869,5.65,104040.0,0.0363
2010-01-25,5.722,5.821,5.854,5.671,85290.0,-0.0167
2010-01-26,5.485,5.707,5.721,5.434,65650.0,-0.0414
2010-01-27,5.274,5.46,5.482,5.223,19270.0,-0.0385
2010-01-28,5.138,5.23,5.258,5.06,107010.0,-0.0258
2010-01-29,5.131,5.19,5.285,5.094,79680.0,-0.0014000000000000002
2010-02-01,5.434,5.247,5.45,5.236,106100.0,0.0591
2010-02-02,5.454,5.436,5.538,5.378,104920.0,0.0037
2010-02-03,5.419,5.441,5.558,5.36,97200.0,-0.0064
2010-02-04,5.416,5.406,5.5,5.227,132330.0,-0.0006
2010-02-05,5.515,5.485,5.598,5.383,149130.0,0.0183
2010-02-08,5.401,5.602,5.68,5.396,140790.0,-0.0207
2010-02-09,5.29,5.42,5.466,5.262,148510.0,-0.0206
2010-02-10,5.292,5.348,5.38,5.24,138420.0,0.0004
2010-02-11,5.396,5.297,5.416,5.286,135610.0,0.0197
2010-02-12,5.468,5.404,5.556,5.204,149080.0,0.013300000000000001
2010-02-16,5.31,5.429,5.56,5.305,140890.0,-0.028900000000000002
2010-02-17,5.386,5.35,5.414,5.274,91200.0,0.0143
2010-02-18,5.172,5.386,5.419,5.135,118530.0,-0.0397
2010-02-19,5.044,5.151,5.167,5.008,96760.0,-0.024700000000000003
2010-02-22,4.895,4.95,4.977,4.841,78060.0,-0.029500000000000002
2010-02-23,4.778,4.915,4.934,4.766,66650.0,-0.0239
2010-02-24,4.816,4.773,4.884,4.745,17090.0,0.008
2010-02-25,4.767,4.876,4.894,4.743,84370.0,-0.0102
2010-02-26,4.813,4.8,4.853,4.739,69230.0,0.0096
2010-03-01,4.679,4.772,4.869,4.66,89840.0,-0.0278
