Date,Close,Open,High,Low,Volume,Change
2010-01-04,1117.7,1097.1,1122.3,1097.1,180.0,0.020499999999999997
2010-01-05,1118.1,1122.0,1126.5,1115.0,50.0,0.0004
2010-01-06,1135.9,1120.7,1139.2,1120.7,360.0,0.0159
2010-01-07,1133.1,1132.1,1133.0,1129.2,60.0,-0.0025
2010-01-08,1138.2,1124.9,1136.9,1122.7,50.0,0.0045000000000000005
2010-01-11,1150.7,1143.0,1161.2,1143.0,180.0,0.011000000000000001
2010-01-12,1128.9,1155.0,1157.2,1127.2,50.0,-0.0189
2010-01-13,1136.4,1128.1,1136.4,1121.0,60.0,0.0066
2010-01-14,1142.6,1137.0,1145.9,1132.8,80.0,0.0055000000000000005
2010-01-15,1130.1,1132.8,1133.4,1127.2,50.0,-0.0109
2010-01-19,1139.7,1131.1,1138.4,1130.5,20.0,0.0085
2010-01-20,1112.3,1133.0,1133.0,1109.8,30.0,-0.024
2010-01-21,1102.7,1104.8,1107.5,1089.8,100.0,-0.0086
2010-01-22,1089.2,1091.4,1095.4,1083.0,60.0,-0.012199999999999999
2010-01-25,1095.2,1100.4,1100.4,1095.4,10.0,0.0055000000000000005
2010-01-28,1083.6,1087.8,1095.7,1073.2,101170.0,-0.0007000000000000001
2010-01-29,1083.0,1085.0,1090.8,1074.5,11460.0,-0.0006
2010-02-01,1104.3,1081.0,1107.3,1076.8,2450.0,0.0197
2010-02-02,1117.4,1106.8,1118.5,1100.2,3330.0,0.011899999999999999
2010-02-03,1111.4,1115.8,1124.9,1108.6,850.0,-0.0054
2010-02-04,1062.4,1110.0,1110.7,1059.0,1430.0,-0.0441
2010-02-05,1052.2,1068.3,1068.5,1045.2,1960.0,-0.0096
2010-02-08,1065.7,1067.5,1073.4,1061.6,550.0,0.0128
2010-02-09,1076.7,1063.4,1082.0,1063.1,390.0,0.0103
2010-02-10,1075.8,1078.0,1081.1,1063.3,640.0,-0.0008
2010-02-11,1094.2,1076.8,1097.1,1075.6,1490.0,0.0171
2010-02-12,1089.5,1089.6,1092.0,1079.8,200.0,-0.0043
2010-02-16,1119.3,1094.8,1120.4,1092.4,930.0,0.0274
2010-02-17,1119.5,1116.4,1127.0,1108.5,1080.0,0.0002
2010-02-18,1118.0,1104.5,1123.7,1100.8,990.0,-0.0013
2010-02-19,1121.3,1107.3,1126.2,1099.7,140.0,0.003
2010-02-22,1112.6,1123.4,1127.4,1110.0,120.0,-0.0078000000000000005
2010-02-23,1102.7,1116.4,1118.3,1102.6,150.0,-0.0089
2010-02-24,1096.5,1106.2,1106.3,1091.9,180.0,-0.005600000000000001
2010-02-25,1107.8,1100.6,1108.2,1088.7,390.0,0.0103
2010-02-26,1118.3,1106.8,1118.2,1106.8,380.0,0.0095
2010-03-01,1117.8,1119.3,1121.9,1113.6,180.0,-0.0004
2010-03-02,1136.9,1117.7,1137.4,1115.7,160.0,0.0171
2010-03-03,1142.7,1133.7,1145.0,1133.7,170.0,0.0051
2010-03-04,1132.6,1134.7,1139.0,1128.6,120.0,-0.0088
2010-03-05,1134.8,1131.3,1139.7,1128.0,130.0,0.0019
2010-03-08,1123.6,1134.6,1136.3,1119.3,20.0,-0.009899999999999999
2010-03-09,1122.0,1123.2,1124.0,1113.1,30.0,-0.0014000000000000002
2010-03-10,1107.8,1127.1,1127.1,1106.9,20.0,-0.0127
2010-03-11,1108.0,1107.5,1109.0,1101.2,50.0,0.0002
2010-03-12,1101.5,1117.4,1117.4,1099.9,140.0,-0.0059
2010-03-15,1105.1,1104.2,1107.1,1101.4,20.0,0.0033
2010-03-16,1122.2,1114.5,1127.0,1114.5,70.0,0.0155
2010-03-17,1124.0,1127.8,1131.4,1118.0,30.0,0.0016
2010-03-18,1127.4,1121.1,1127.8,1121.1,90.0,0.003
2010-03-19,1107.4,1124.2,1124.2,1104.2,50.0,-0.0177
2010-03-22,1099.3,1102.1,1102.4,1094.8,70.0,-0.0073
2010-03-23,1103.5,1094.8,1104.7,1094.8,20.0,0.0038
2010-03-24,1088.6,1092.4,1092.4,1085.5,10.0,-0.013500000000000002
2010-03-25,1092.7,1092.4,1092.4,1085.5,10.0,0.0038
2010-03-26,1104.2,1098.4,1098.4,1092.3,10.0,0.0105
2010-03-29,1110.3,1110.7,1110.7,1109.4,20.0,0.0055000000000000005
2010-03-30,1104.5,1109.7,1112.9,1101.1,56530.0,-0.0052
2010-03-31,1113.3,1103.1,1118.7,1102.0,5950.0,0.008
2010-04-01,1125.1,1112.9,1127.7,1111.3,570.0,0.0106
2010-04-05,1132.9,1122.3,1133.3,1119.9,570.0,0.0069
2010-04-06,1135.1,1130.8,1138.5,1122.7,2490.0,0.0019
2010-04-07,1152.3,1135.8,1153.0,1132.6,1340.0,0.0152
2010-04-08,1152.2,1146.4,1152.3,1144.0,250.0,-0.0001
2010-04-09,1161.1,1150.7,1164.8,1150.5,510.0,0.0077
2010-04-12,1161.6,1168.5,1169.0,1154.6,480.0,0.0004
2010-04-13,1152.8,1155.5,1157.0,1145.0,280.0,-0.0076
2010-04-14,1159.0,1151.2,1160.6,1151.2,160.0,0.0054
2010-04-15,1159.7,1157.5,1159.8,1151.0,180.0,0.0006
2010-04-16,1136.3,1159.6,1160.0,1130.4,480.0,-0.0202
2010-04-19,1135.2,1133.9,1137.1,1124.0,150.0,-0.001
2010-04-20,1138.6,1136.4,1145.8,1136.0,80.0,0.003
2010-04-21,1148.2,1142.6,1150.0,1138.4,70.0,0.0084
2010-04-22,1142.3,1144.0,1144.0,1133.6,210.0,-0.0051
2010-04-23,1153.1,1139.5,1154.6,1139.1,40.0,0.0095
2010-04-26,1153.5,1160.1,1160.1,1151.4,110.0,0.0003
2010-04-27,1161.7,1152.8,1170.7,1148.6,210.0,0.0070999999999999995
2010-04-28,1171.3,1166.2,1173.9,1161.1,110.0,0.0083
2010-04-29,1168.4,1166.8,1171.2,1164.0,170.0,-0.0025
2010-04-30,1180.1,1170.0,1181.3,1170.0,150.0,0.01
