Date,Close,Open,High,Low,Change
2010-01-04,5.42,5.42,5.42,5.42,0.0037
2010-01-05,5.36,5.36,5.36,5.36,-0.0111
2010-01-06,5.38,5.38,5.38,5.38,0.0037
2010-01-07,5.3,5.3,5.3,5.3,-0.0149
2010-01-08,5.33,5.33,5.33,5.33,0.005699999999999999
2010-01-11,5.36,5.36,5.36,5.36,0.005600000000000001
2010-01-12,5.38,5.38,5.38,5.38,0.0037
2010-01-13,5.33,5.33,5.33,5.33,-0.009300000000000001
2010-01-14,5.35,5.35,5.35,5.35,0.0038
2010-01-15,5.35,5.35,5.35,5.35,0.0
2010-01-18,5.41,5.41,5.41,5.41,0.011200000000000002
2010-01-19,5.37,5.37,5.37,5.37,-0.0074
2010-01-20,5.35,5.35,5.35,5.35,-0.0037
2010-01-21,5.32,5.32,5.32,5.32,-0.005600000000000001
2010-01-22,5.32,5.32,5.32,5.32,0.0
2010-01-25,5.34,5.34,5.34,5.34,0.0038
2010-01-26,5.32,5.32,5.32,5.32,-0.0037
2010-01-27,5.34,5.34,5.34,5.34,0.0038
2010-01-28,5.37,5.37,5.37,5.37,0.005600000000000001
2010-01-29,5.34,5.34,5.34,5.34,-0.005600000000000001
2010-02-01,5.35,5.35,5.35,5.35,0.0019
2010-02-02,5.34,5.34,5.34,5.34,-0.0019
2010-02-03,5.35,5.35,5.35,5.35,0.0019
2010-02-04,5.36,5.36,5.36,5.36,0.0019
2010-02-05,5.31,5.31,5.31,5.31,-0.009300000000000001
2010-02-08,5.35,5.35,5.35,5.35,0.0075
2010-02-09,5.37,5.37,5.37,5.37,0.0037
2010-02-10,5.36,5.36,5.36,5.36,-0.0019
2010-02-11,5.3,5.3,5.3,5.3,-0.011200000000000002
2010-02-12,5.29,5.29,5.29,5.29,-0.0019
2010-02-16,5.3,5.3,5.3,5.3,0.0019
2010-02-17,5.3,5.3,5.3,5.3,0.0
2010-02-18,5.29,5.29,5.29,5.29,-0.0019
2010-02-19,5.31,5.31,5.31,5.31,0.0038
2010-02-22,5.3,5.3,5.3,5.3,-0.0019
2010-02-23,5.29,5.29,5.29,5.29,-0.0019
2010-02-24,5.2,5.2,5.2,5.2,-0.017
2010-02-25,5.13,5.13,5.13,5.13,-0.013500000000000002
2010-02-26,5.13,5.13,5.13,5.13,0.0
2010-03-02,5.13,5.13,5.13,5.13,0.0
2010-03-03,5.11,5.11,5.11,5.11,-0.0039000000000000003
2010-03-04,5.04,5.04,5.04,5.04,-0.0137
2010-03-05,5.01,5.01,5.01,5.01,-0.006
2010-03-08,5.03,5.03,5.03,5.03,0.004
2010-03-09,5.03,5.03,5.03,5.03,0.0
2010-03-10,5.02,5.02,5.02,5.02,-0.002
2010-03-11,4.9,4.9,4.9,4.9,-0.0239
2010-03-12,4.84,4.84,4.84,4.84,-0.012199999999999999
2010-03-15,4.86,4.86,4.86,4.86,0.0040999999999999995
2010-03-16,4.83,4.83,4.83,4.83,-0.0062
2010-03-17,4.78,4.78,4.78,4.78,-0.0104
2010-03-18,4.73,4.73,4.73,4.73,-0.0105
2010-03-19,4.72,4.72,4.72,4.72,-0.0021
2010-03-22,4.69,4.69,4.69,4.69,-0.0064
2010-03-23,4.76,4.76,4.76,4.76,0.0149
2010-03-24,4.93,4.93,4.93,4.93,0.035699999999999996
2010-03-25,4.89,4.89,4.89,4.89,-0.008100000000000001
2010-03-26,4.9,4.9,4.9,4.9,0.002
2010-03-29,4.94,4.94,4.94,4.94,0.008199999999999999
2010-03-30,5.0,5.0,5.0,5.0,0.0121
2010-03-31,4.94,4.94,4.94,4.94,-0.012
2010-04-01,4.92,4.92,4.92,4.92,-0.004
2010-04-02,4.93,4.93,4.93,4.93,0.002
2010-04-05,4.95,4.95,4.95,4.95,0.0040999999999999995
2010-04-06,4.94,4.94,4.94,4.94,-0.002
2010-04-07,4.88,4.88,4.88,4.88,-0.0121
2010-04-08,4.83,4.83,4.83,4.83,-0.0102
2010-04-09,4.83,4.83,4.83,4.83,0.0
2010-04-12,4.93,4.93,4.93,4.93,0.0207
2010-04-13,4.95,4.95,4.95,4.95,0.0040999999999999995
2010-04-14,4.95,4.95,4.95,4.95,0.0
2010-04-15,4.98,4.98,4.98,4.98,0.0060999999999999995
2010-04-16,4.96,4.96,4.96,4.96,-0.004
2010-04-19,4.94,4.94,4.94,4.94,-0.004
2010-04-20,4.96,4.96,4.96,4.96,0.004
2010-04-21,4.96,4.96,4.96,4.96,0.0
2010-04-22,4.95,4.95,4.95,4.95,-0.002
2010-04-23,4.92,4.92,4.92,4.92,-0.0060999999999999995
2010-04-26,4.91,4.91,4.91,4.91,-0.002
2010-04-27,4.87,4.87,4.87,4.87,-0.008100000000000001
2010-04-28,4.82,4.82,4.82,4.82,-0.0103
2010-04-29,4.82,4.82,4.82,4.82,0.0
2010-04-30,4.83,4.83,4.83,4.83,0.0021
2010-05-03,4.87,4.87,4.87,4.87,0.0083
2010-05-04,4.86,4.86,4.86,4.86,-0.0021
2010-05-06,4.91,4.91,4.91,4.91,0.0103
2010-05-07,4.93,4.93,4.93,4.93,0.0040999999999999995
2010-05-10,4.95,4.95,4.95,4.95,0.0040999999999999995
2010-05-11,4.91,4.91,4.91,4.91,-0.008100000000000001
2010-05-12,4.96,4.96,4.96,4.96,0.0102
2010-05-13,4.99,4.99,4.99,4.99,0.006
2010-05-14,4.99,4.99,4.99,4.99,0.0
2010-05-17,5.05,5.05,5.05,5.05,0.012
2010-05-18,5.03,5.03,5.03,5.03,-0.004
2010-05-19,5.03,5.03,5.03,5.03,0.0
2010-05-20,5.03,5.03,5.03,5.03,0.0
2010-05-24,4.95,4.95,4.95,4.95,-0.0159
2010-05-25,4.93,4.93,4.93,4.93,-0.004
2010-05-26,5.0,5.0,5.0,5.0,0.014199999999999999
2010-05-27,4.93,4.93,4.93,4.93,-0.013999999999999999
2010-05-28,4.92,4.92,4.92,4.92,-0.002
2010-05-31,4.94,4.94,4.94,4.94,0.0040999999999999995
2010-06-01,4.9,4.9,4.9,4.9,-0.008100000000000001
2010-06-03,4.89,4.89,4.89,4.89,-0.002
2010-06-04,4.91,4.91,4.91,4.91,0.0040999999999999995
2010-06-07,4.88,4.88,4.88,4.88,-0.0060999999999999995
2010-06-08,4.89,4.89,4.89,4.89,0.002
2010-06-09,4.89,4.89,4.89,4.89,0.0
2010-06-10,4.91,4.91,4.91,4.91,0.0040999999999999995
2010-06-11,4.94,4.94,4.94,4.94,0.0060999999999999995
2010-06-14,4.93,4.93,4.93,4.93,-0.002
2010-06-15,4.91,4.91,4.91,4.91,-0.0040999999999999995
2010-06-16,4.91,4.91,4.91,4.91,0.0
2010-06-17,4.91,4.91,4.91,4.91,0.0
2010-06-18,4.91,4.91,4.91,4.91,0.0
2010-06-21,4.97,4.97,4.97,4.97,0.012199999999999999
2010-06-22,4.98,4.98,4.98,4.98,0.002
2010-06-23,4.98,4.98,4.98,4.98,0.0
2010-06-24,4.98,4.98,4.98,4.98,0.0
2010-06-25,4.99,4.99,4.99,4.99,0.002
2010-06-28,4.97,4.97,4.97,4.97,-0.004
2010-06-29,4.96,4.96,4.96,4.96,-0.002
2010-06-30,4.94,4.94,4.94,4.94,-0.004
2010-07-01,4.91,4.91,4.91,4.91,-0.0060999999999999995
2010-07-02,4.91,4.91,4.91,4.91,0.0
2010-07-05,4.91,4.91,4.91,4.91,0.0
2010-07-06,4.91,4.91,4.91,4.91,0.0
2010-07-07,4.93,4.93,4.93,4.93,0.0040999999999999995
2010-07-08,4.93,4.93,4.93,4.93,0.0
2010-07-09,4.92,4.92,4.92,4.92,-0.002
2010-07-12,4.94,4.94,4.94,4.94,0.0040999999999999995
2010-07-13,4.94,4.94,4.94,4.94,0.0
2010-07-14,4.94,4.94,4.94,4.94,0.0
2010-07-15,4.91,4.91,4.91,4.91,-0.0060999999999999995
2010-07-16,4.91,4.91,4.91,4.91,0.0
2010-07-19,4.91,4.91,4.91,4.91,0.0
2010-07-20,4.91,4.91,4.91,4.91,0.0
2010-07-21,4.91,4.91,4.91,4.91,0.0
2010-07-22,4.9,4.9,4.9,4.9,-0.002
2010-07-23,4.88,4.88,4.88,4.88,-0.0040999999999999995
2010-07-26,4.89,4.89,4.89,4.89,0.002
2010-07-27,4.87,4.87,4.87,4.87,-0.0040999999999999995
2010-07-28,4.86,4.86,4.86,4.86,-0.0021
2010-07-29,4.84,4.84,4.84,4.84,-0.0040999999999999995
2010-07-30,4.84,4.84,4.84,4.84,0.0
2010-08-02,4.85,4.85,4.85,4.85,0.0021
2010-08-03,4.85,4.85,4.85,4.85,0.0
2010-08-04,4.81,4.81,4.81,4.81,-0.008199999999999999
2010-08-05,4.84,4.84,4.84,4.84,0.0062
2010-08-06,4.84,4.84,4.84,4.84,0.0
2010-08-09,4.85,4.85,4.85,4.85,0.0021
2010-08-10,4.85,4.85,4.85,4.85,0.0
2010-08-11,4.79,4.79,4.79,4.79,-0.0124
2010-08-12,4.77,4.77,4.77,4.77,-0.0042
2010-08-13,4.75,4.75,4.75,4.75,-0.0042
2010-08-16,4.74,4.74,4.74,4.74,-0.0021
2010-08-17,4.74,4.74,4.74,4.74,0.0
