Date,Close,Open,High,Low,Volume,Change
2010-01-04,3243.76,3289.75,3295.28,3243.32,10940000000.0,-0.0102
2010-01-05,3282.18,3254.47,3290.51,3221.46,12610000000.0,0.0118
2010-01-06,3254.22,3277.52,3295.87,3253.04,12370000000.0,-0.0085
2010-01-07,3192.78,3253.99,3268.82,3176.71,12870000000.0,-0.0189
2010-01-08,3196.0,3177.26,3198.92,3149.02,9840000000.0,0.001
2010-01-11,3212.75,3301.61,3306.75,3197.33,13630000000.0,0.0052
2010-01-12,3273.97,3205.7,3275.2,3180.09,14070000000.0,0.0191
2010-01-13,3172.66,3204.98,3232.82,3165.49,15830000000.0,-0.030899999999999997
2010-01-14,3215.55,3183.38,3219.02,3165.59,13600000000.0,0.013500000000000002
2010-01-15,3224.15,3217.19,3241.82,3197.22,12050000000.0,0.0027
2010-01-18,3237.1,3213.64,3238.24,3202.21,13510000000.0,0.004
2010-01-19,3246.87,3242.22,3268.81,3236.84,12990000000.0,0.003
2010-01-20,3151.85,3252.04,3255.13,3148.33,15820000000.0,-0.029300000000000003
2010-01-21,3158.86,3154.19,3176.15,3126.9,11430000000.0,0.0022
2010-01-22,3128.59,3118.72,3147.83,3062.63,13780000000.0,-0.0096
2010-01-25,3094.41,3103.32,3137.0,3092.93,7840000000.0,-0.0109
2010-01-26,3019.39,3094.85,3107.2,3001.96,9350000000.0,-0.0242
2010-01-27,2986.61,3020.54,3028.65,2972.63,7660000000.0,-0.0109
2010-01-28,2994.14,2985.21,3006.04,2963.89,7340000000.0,0.0025
2010-01-29,2989.29,2979.74,3024.85,2968.45,8050000000.000001,-0.0016
2010-02-01,2941.36,2981.37,2981.37,2912.89,8810000000.0,-0.016
2010-02-02,2934.71,2955.75,2990.75,2930.56,8250000000.0,-0.0023
2010-02-03,3003.84,2945.03,3005.13,2890.02,10100000000.0,0.0236
2010-02-04,2995.31,2983.05,3015.13,2968.68,9990000000.0,-0.0028000000000000004
2010-02-05,2939.4,2936.2,2959.23,2918.91,9730000000.0,-0.0187
2010-02-08,2935.17,2936.45,2954.27,2922.19,6330000000.0,-0.0014000000000000002
2010-02-09,2948.84,2932.09,2957.47,2929.21,6230000000.0,0.004699999999999999
2010-02-10,2982.5,2967.14,2983.18,2958.22,5560000000.0,0.011399999999999999
2010-02-11,2985.5,2985.08,3001.64,2976.08,5660000000.0,0.001
2010-02-12,3018.13,2996.09,3018.86,2993.44,5610000000.0,0.0109
2010-02-22,3003.4,3016.7,3026.66,3002.81,6850000000.0,-0.0049
2010-02-23,2982.57,2998.91,2998.91,2938.75,8039999999.999999,-0.0069
2010-02-24,3022.18,2964.98,3023.74,2955.07,9290000000.0,0.013300000000000001
2010-02-25,3060.62,3026.66,3063.0,3022.37,11970000000.0,0.0127
2010-02-26,3051.94,3053.5,3067.53,3041.69,10130000000.0,-0.0028000000000000004
2010-03-01,3087.84,3057.01,3093.09,3054.55,11100000000.0,0.0118
2010-03-02,3073.11,3089.71,3095.99,3060.96,10530000000.0,-0.0048
2010-03-03,3097.01,3074.1,3098.46,3061.47,11720000000.0,0.0078000000000000005
2010-03-04,3023.37,3098.07,3102.4,3016.22,12640000000.0,-0.023799999999999998
2010-03-05,3031.07,3026.64,3044.16,3011.09,9230000000.0,0.0025
2010-03-08,3053.23,3036.41,3058.83,3030.91,8100000000.0,0.0073
2010-03-09,3069.14,3053.26,3084.85,3028.69,9240000000.0,0.0052
2010-03-10,3048.93,3067.15,3085.99,3034.74,8460000000.000001,-0.0066
2010-03-11,3051.28,3050.64,3070.93,3025.31,7990000000.0,0.0008
2010-03-12,3013.41,3051.47,3057.52,3011.97,7140000000.0,-0.0124
2010-03-15,2976.94,3010.72,3013.52,2963.49,6380000000.0,-0.0121
2010-03-16,2992.84,2974.49,2993.84,2963.44,5960000000.0,0.0053
2010-03-17,3050.48,2999.82,3050.76,2994.89,8710000000.0,0.019299999999999998
2010-03-18,3046.09,3053.16,3063.59,3035.02,9140000000.0,-0.0014000000000000002
2010-03-19,3067.75,3046.75,3069.66,3031.02,8850000000.0,0.0070999999999999995
2010-03-22,3074.58,3069.66,3083.34,3061.76,9650000000.0,0.0022
2010-03-23,3053.12,3076.96,3082.97,3051.21,9290000000.0,-0.006999999999999999
2010-03-24,3056.81,3058.93,3076.75,3052.21,8930000000.0,0.0012
2010-03-25,3019.18,3051.36,3051.36,3012.31,9020000000.0,-0.0123
2010-03-26,3059.72,3017.22,3067.71,3009.91,9310000000.0,0.0134
2010-03-29,3123.8,3076.05,3130.28,3071.69,13190000000.0,0.0209
2010-03-30,3128.47,3123.83,3132.58,3113.77,10240000000.0,0.0015
2010-03-31,3109.11,3129.57,3130.11,3101.76,10110000000.0,-0.0062
