Date,Close,Open,High,Low,Volume,Change
2019-11-08,13.02,12.78,13.25,12.67,187380.0,0.039900000000000005
2019-11-11,13.4,13.05,13.74,13.05,135740.0,0.0292
2019-11-12,13.55,13.51,13.69,13.3,80970.0,0.011200000000000002
2019-11-13,14.45,13.61,14.99,13.55,238660.0,0.0664
2019-11-14,15.35,14.85,16.72,14.83,693310.0,0.0623
2019-11-15,15.1,15.59,16.17,15.0,277090.0,-0.0163
2019-11-18,15.69,15.5,15.73,14.85,124980.0,0.0391
2019-11-19,16.09,15.65,16.9,15.3,180380.0,0.0255
2019-11-20,16.24,16.2,16.37,15.61,168530.0,0.009300000000000001
2019-11-21,16.43,16.34,16.72,16.2,106330.0,0.011699999999999999
2019-11-22,15.67,16.43,16.43,15.51,97560.0,-0.0463
2019-11-25,15.35,15.7,15.98,13.95,216300.0,-0.0204
2019-11-26,15.95,15.29,15.97,14.9,77390.0,0.0391
2019-11-27,16.05,15.82,16.05,15.64,83350.0,0.0063
2019-11-29,16.42,15.98,16.52,15.79,61020.0,0.0231
2019-12-02,16.02,16.55,16.95,15.5,103780.0,-0.024399999999999998
2019-12-03,15.44,15.82,15.82,15.25,73650.0,-0.0362
2019-12-04,15.17,15.37,15.64,15.05,47150.0,-0.0175
2019-12-05,15.5,15.52,15.6,14.9,59090.0,0.0218
2019-12-06,15.15,15.38,15.6,14.94,47090.0,-0.0226
2019-12-09,15.32,15.15,15.75,15.14,58240.0,0.011200000000000002
2019-12-10,15.75,15.2,15.75,14.81,69180.0,0.0281
2019-12-11,15.43,15.43,15.69,15.27,73560.0,-0.0203
2019-12-12,15.61,15.5,16.2,15.5,160000.0,0.011699999999999999
2019-12-13,16.02,15.73,16.1,15.73,55500.0,0.0263
2019-12-16,16.14,16.0,16.18,15.79,129080.00000000001,0.0075
2019-12-17,16.39,16.09,16.39,15.93,145880.0,0.0155
2019-12-18,16.26,16.42,16.47,16.0,123450.0,-0.0079
2019-12-19,16.26,16.05,16.44,16.05,99220.0,0.0
2019-12-20,15.91,16.45,16.45,15.72,520659.99999999994,-0.0215
2019-12-23,15.67,15.97,16.15,15.33,85630.0,-0.0151
2019-12-24,15.82,15.74,15.98,15.65,13690.0,0.0096
2019-12-26,15.55,15.81,15.83,15.39,34210.0,-0.0171
2019-12-27,15.57,15.65,15.65,15.44,27830.0,0.0013
2019-12-30,15.95,15.61,16.01,15.5,23650.0,0.024399999999999998
2019-12-31,15.91,16.0,16.05,15.58,63880.0,-0.0025
2020-01-02,15.93,16.05,16.05,15.68,60830.0,0.0013
2020-01-03,15.93,15.75,15.96,15.73,23290.0,0.0
2020-01-06,15.94,15.8,16.03,15.77,39610.0,0.0006
