Date,Close,Open,High,Low,Change
2010-01-04,1.076,1.076,1.076,1.076,-0.058600000000000006
2010-01-05,1.016,1.016,1.016,1.016,-0.0558
2010-01-06,1.0,1.0,1.0,1.0,-0.015700000000000002
2010-01-07,1.028,1.028,1.028,1.028,0.027999999999999997
2010-01-08,0.976,0.976,0.976,0.976,-0.0506
2010-01-11,0.94,0.94,0.94,0.94,-0.0369
2010-01-12,0.907,0.907,0.907,0.907,-0.0351
2010-01-13,0.964,0.964,0.964,0.964,0.06280000000000001
2010-01-14,0.923,0.923,0.923,0.923,-0.0425
2010-01-15,0.87,0.87,0.87,0.87,-0.0574
2010-01-19,0.886,0.886,0.886,0.886,0.0184
2010-01-20,0.882,0.882,0.882,0.882,-0.0045000000000000005
2010-01-21,0.833,0.833,0.833,0.833,-0.0556
2010-01-22,0.792,0.792,0.792,0.792,-0.0492
2010-01-25,0.816,0.816,0.816,0.816,0.030299999999999997
2010-01-26,0.811,0.811,0.811,0.811,-0.0060999999999999995
2010-01-27,0.915,0.915,0.915,0.915,0.1282
2010-01-28,0.863,0.863,0.863,0.863,-0.056799999999999996
2010-01-29,0.816,0.816,0.816,0.816,-0.0545
2010-02-01,0.855,0.855,0.855,0.855,0.0478
2010-02-02,0.855,0.855,0.855,0.855,0.0
2010-02-03,0.883,0.883,0.883,0.883,0.0327
2010-02-04,0.807,0.807,0.807,0.807,-0.0861
2010-02-05,0.771,0.771,0.771,0.771,-0.0446
2010-02-08,0.763,0.763,0.763,0.763,-0.0104
2010-02-09,0.827,0.827,0.827,0.827,0.0839
2010-02-10,0.879,0.879,0.879,0.879,0.0629
2010-02-11,0.871,0.871,0.871,0.871,-0.0091
2010-02-12,0.831,0.831,0.831,0.831,-0.045899999999999996
2010-02-16,0.806,0.806,0.806,0.806,-0.0301
2010-02-17,0.855,0.855,0.855,0.855,0.0608
2010-02-18,0.928,0.928,0.928,0.928,0.08539999999999999
2010-02-19,0.92,0.92,0.92,0.92,-0.0086
2010-02-22,0.887,0.887,0.887,0.887,-0.0359
2010-02-23,0.838,0.838,0.838,0.838,-0.0552
2010-02-24,0.867,0.867,0.867,0.867,0.0346
2010-02-25,0.828,0.828,0.828,0.828,-0.045
2010-02-26,0.816,0.816,0.816,0.816,-0.014499999999999999
2010-03-01,0.804,0.804,0.804,0.804,-0.0147
2010-03-02,0.792,0.792,0.792,0.792,-0.0149
2010-03-03,0.812,0.812,0.812,0.812,0.0253
2010-03-04,0.859,0.859,0.859,0.859,0.0579
2010-03-05,0.899,0.899,0.899,0.899,0.0466
2010-03-08,0.895,0.895,0.895,0.895,-0.0044
2010-03-09,0.871,0.871,0.871,0.871,-0.0268
2010-03-10,0.907,0.907,0.907,0.907,0.041299999999999996
2010-03-11,0.951,0.951,0.951,0.951,0.048499999999999995
2010-03-12,0.96,0.96,0.96,0.96,0.0095
2010-03-15,0.944,0.944,0.944,0.944,-0.0167
2010-03-16,0.911,0.911,0.911,0.911,-0.035
2010-03-17,0.919,0.919,0.919,0.919,0.0088
2010-03-18,0.956,0.956,0.956,0.956,0.0403
2010-03-19,0.997,0.997,0.997,0.997,0.0429
2010-03-22,0.973,0.973,0.973,0.973,-0.0241
2010-03-23,0.981,0.981,0.981,0.981,0.008199999999999999
