Date,Close,Open,High,Low,Change
2010-01-04,0.063,0.063,0.063,0.063,0.032799999999999996
2010-01-05,0.066,0.066,0.066,0.066,0.047599999999999996
2010-01-06,0.056,0.056,0.056,0.056,-0.1515
2010-01-07,0.053,0.053,0.053,0.053,-0.0536
2010-01-08,0.051,0.051,0.051,0.051,-0.0377
2010-01-11,0.033,0.033,0.033,0.033,-0.3529
2010-01-12,0.048,0.048,0.048,0.048,0.4545
2010-01-13,0.056,0.056,0.056,0.056,0.16670000000000001
2010-01-14,0.053,0.053,0.053,0.053,-0.0536
2010-01-15,0.061,0.061,0.061,0.061,0.1509
2010-01-19,0.058,0.058,0.058,0.058,-0.0492
2010-01-20,0.053,0.053,0.053,0.053,-0.0862
2010-01-21,0.051,0.051,0.051,0.051,-0.0377
2010-01-22,0.051,0.051,0.051,0.051,0.0
2010-01-25,0.051,0.051,0.051,0.051,0.0
2010-01-26,0.071,0.071,0.071,0.071,0.3922
2010-01-27,0.076,0.076,0.076,0.076,0.0704
2010-01-28,0.079,0.079,0.079,0.079,0.0395
2010-01-29,0.076,0.076,0.076,0.076,-0.038
2010-02-01,0.091,0.091,0.091,0.091,0.1974
2010-02-02,0.099,0.099,0.099,0.099,0.08789999999999999
2010-02-03,0.101,0.101,0.101,0.101,0.0202
2010-02-04,0.091,0.091,0.091,0.091,-0.099
2010-02-05,0.094,0.094,0.094,0.094,0.033
2010-02-08,0.099,0.099,0.099,0.099,0.053200000000000004
2010-02-09,0.109,0.109,0.109,0.109,0.10099999999999999
2010-02-10,0.106,0.106,0.106,0.106,-0.0275
2010-02-11,0.101,0.101,0.101,0.101,-0.0472
2010-02-12,0.096,0.096,0.096,0.096,-0.0495
2010-02-16,0.094,0.094,0.094,0.094,-0.0208
2010-02-17,0.099,0.099,0.099,0.099,0.053200000000000004
2010-02-18,0.101,0.101,0.101,0.101,0.0202
2010-02-19,0.106,0.106,0.106,0.106,0.0495
2010-02-22,0.094,0.094,0.094,0.094,-0.11320000000000001
2010-02-23,0.117,0.117,0.117,0.117,0.2447
2010-02-24,0.117,0.117,0.117,0.117,0.0
2010-02-25,0.122,0.122,0.122,0.122,0.042699999999999995
2010-02-26,0.124,0.124,0.124,0.124,0.016399999999999998
2010-03-01,0.127,0.127,0.127,0.127,0.0242
2010-03-02,0.132,0.132,0.132,0.132,0.0394
2010-03-03,0.142,0.142,0.142,0.142,0.0758
2010-03-04,0.142,0.142,0.142,0.142,0.0
2010-03-05,0.152,0.152,0.152,0.152,0.0704
2010-03-08,0.152,0.152,0.152,0.152,0.0
2010-03-09,0.157,0.157,0.157,0.157,0.0329
2010-03-10,0.152,0.152,0.152,0.152,-0.0318
2010-03-11,0.152,0.152,0.152,0.152,0.0
2010-03-12,0.15,0.15,0.15,0.15,-0.0132
2010-03-15,0.152,0.152,0.152,0.152,0.013300000000000001
2010-03-16,0.162,0.162,0.162,0.162,0.0658
2010-03-17,0.155,0.155,0.155,0.155,-0.0432
2010-03-18,0.155,0.155,0.155,0.155,0.0
2010-03-19,0.157,0.157,0.157,0.157,0.0129
2010-03-22,0.142,0.142,0.142,0.142,-0.0955
2010-03-23,0.137,0.137,0.137,0.137,-0.0352
2010-03-24,0.142,0.142,0.142,0.142,0.0365
2010-03-25,0.137,0.137,0.137,0.137,-0.0352
2010-03-26,0.14,0.14,0.14,0.14,0.0219
2010-03-29,0.132,0.132,0.132,0.132,-0.0571
2010-03-30,0.155,0.155,0.155,0.155,0.17420000000000002
2010-03-31,0.157,0.157,0.157,0.157,0.0129
2010-04-01,0.162,0.162,0.162,0.162,0.0318
2010-04-02,0.167,0.167,0.167,0.167,0.030899999999999997
2010-04-05,0.167,0.167,0.167,0.167,0.0
2010-04-06,0.172,0.172,0.172,0.172,0.029900000000000003
2010-04-07,0.167,0.167,0.167,0.167,-0.0291
2010-04-08,0.162,0.162,0.162,0.162,-0.029900000000000003
2010-04-09,0.157,0.157,0.157,0.157,-0.030899999999999997
2010-04-12,0.142,0.142,0.142,0.142,-0.0955
2010-04-13,0.157,0.157,0.157,0.157,0.1056
2010-04-14,0.16,0.16,0.16,0.16,0.0191
2010-04-15,0.16,0.16,0.16,0.16,0.0
2010-04-16,0.157,0.157,0.157,0.157,-0.0187
2010-04-19,0.152,0.152,0.152,0.152,-0.0318
2010-04-20,0.152,0.152,0.152,0.152,0.0
2010-04-21,0.155,0.155,0.155,0.155,0.0197
2010-04-22,0.157,0.157,0.157,0.157,0.0129
2010-04-23,0.157,0.157,0.157,0.157,0.0
2010-04-26,0.157,0.157,0.157,0.157,0.0
2010-04-27,0.152,0.152,0.152,0.152,-0.0318
2010-04-28,0.162,0.162,0.162,0.162,0.0658
2010-04-29,0.167,0.167,0.167,0.167,0.030899999999999997
2010-04-30,0.165,0.165,0.165,0.165,-0.012
2010-05-03,0.167,0.167,0.167,0.167,0.0121
2010-05-04,0.17,0.17,0.17,0.17,0.018000000000000002
2010-05-05,0.155,0.155,0.155,0.155,-0.0882
2010-05-06,0.114,0.114,0.114,0.114,-0.2645
2010-05-07,0.127,0.127,0.127,0.127,0.114
2010-05-10,0.152,0.152,0.152,0.152,0.19690000000000002
2010-05-11,0.157,0.157,0.157,0.157,0.0329
2010-05-12,0.157,0.157,0.157,0.157,0.0
2010-05-13,0.162,0.162,0.162,0.162,0.0318
2010-05-14,0.152,0.152,0.152,0.152,-0.0617
2010-05-17,0.157,0.157,0.157,0.157,0.0329
