Date,Close,Open,High,Low,Change
2010-01-01,6.827,6.827,6.827,6.827,0.0
2010-01-04,6.8285,6.8297,6.8297,6.827,0.0002
2010-01-05,6.8268,6.8283,6.8288,6.8257,-0.0002
2010-01-06,6.8278,6.8277,6.8291,6.8267,0.0001
2010-01-07,6.8281,6.8269,6.8282,6.8258,0.0
2010-01-08,6.8276,6.8278,6.8285,6.826,-0.0001
2010-01-11,6.8263,6.8269,6.8285,6.8251,-0.0002
2010-01-12,6.827,6.8236,6.8276,6.8236,0.0001
2010-01-13,6.8298,6.8273,6.8298,6.8254,0.0004
2010-01-14,6.827,6.8273,6.8279,6.8259,-0.0004
2010-01-15,6.827,6.8274,6.8274,6.8255,0.0
2010-01-18,6.8268,6.8277,6.8285,6.8261,-0.0
2010-01-19,6.8278,6.828,6.8288,6.8265,0.0001
2010-01-20,6.827,6.8274,6.8289,6.8266,-0.0001
2010-01-21,6.8269,6.8271,6.8274,6.8258,-0.0
2010-01-22,6.827,6.8267,6.827,6.8255,0.0
2010-01-25,6.8269,6.827,6.827,6.8258,-0.0
2010-01-26,6.8266,6.8274,6.8275,6.8264,-0.0
2010-01-27,6.8278,6.8271,6.828,6.827,0.0002
2010-01-28,6.8269,6.8262,6.827,6.826,-0.0001
2010-01-29,6.8269,6.827,6.827,6.826,0.0
2010-02-01,6.827,6.8271,6.8285,6.827,0.0
2010-02-02,6.8271,6.8266,6.8276,6.8241,0.0
2010-02-03,6.827,6.8275,6.8282,6.8248,-0.0
2010-02-04,6.8285,6.8265,6.8285,6.8245,0.0002
2010-02-05,6.8285,6.8279,6.829,6.826,0.0
2010-02-08,6.8266,6.8267,6.8274,6.8258,-0.0003
2010-02-09,6.8268,6.8258,6.827,6.8258,0.0
2010-02-10,6.8285,6.8272,6.833,6.8261,0.0002
2010-02-11,6.8338,6.8312,6.8356,6.823,0.0008
2010-02-12,6.8334,6.8354,6.8354,6.8296,-0.0001
2010-02-15,6.8334,6.8334,6.8334,6.8334,0.0
2010-02-16,6.8334,6.8334,6.8334,6.8334,0.0
2010-02-17,6.8334,6.8334,6.8334,6.8334,0.0
2010-02-18,6.8331,6.8331,6.8331,6.8331,-0.0
2010-02-19,6.8291,6.83,6.83,6.8291,-0.0006
2010-02-22,6.8274,6.8305,6.8315,6.8265,-0.0002
2010-02-23,6.8277,6.8274,6.833,6.8265,0.0
2010-02-24,6.827,6.8267,6.8275,6.826,-0.0001
2010-02-25,6.8268,6.8263,6.8275,6.826,-0.0
2010-02-26,6.8261,6.827,6.8275,6.8255,-0.0001
2010-03-01,6.8264,6.8254,6.8269,6.8254,0.0
2010-03-02,6.8266,6.8264,6.8305,6.8256,0.0
2010-03-03,6.8258,6.8266,6.8285,6.8251,-0.0001
2010-03-04,6.8263,6.8263,6.8274,6.8256,0.0001
2010-03-05,6.8265,6.8262,6.8274,6.826,0.0
2010-03-08,6.8263,6.8261,6.8269,6.8255,-0.0
2010-03-09,6.8263,6.8264,6.8278,6.8255,0.0
2010-03-10,6.8259,6.8263,6.8264,6.8254,-0.0001
2010-03-11,6.8276,6.8263,6.8283,6.826,0.0002
2010-03-12,6.8256,6.8261,6.827,6.8249,-0.0003
2010-03-15,6.8261,6.8249,6.8267,6.8249,0.0001
2010-03-16,6.826,6.8262,6.8269,6.8255,-0.0
2010-03-17,6.826,6.826,6.8265,6.8251,0.0
2010-03-18,6.8262,6.8261,6.827,6.8255,0.0
2010-03-19,6.8266,6.8254,6.8266,6.8254,0.0001
2010-03-22,6.8266,6.8254,6.8274,6.8254,0.0
2010-03-23,6.8263,6.8266,6.8267,6.8258,-0.0
2010-03-24,6.8266,6.8258,6.8275,6.8258,0.0
2010-03-25,6.8271,6.8262,6.8277,6.826,0.0001
2010-03-26,6.827,6.8272,6.8292,6.8259,-0.0
2010-03-29,6.8264,6.8263,6.8283,6.8255,-0.0001
