Date,Close,Open,High,Low,Volume,Change
2010-01-04,77.83,78.355,78.59,77.575,18390.0,-0.0059
2010-01-05,77.85,77.765,77.95,77.39,19300.0,0.0003
2010-01-06,77.655,77.94,78.215,77.58,16010.000000000002,-0.0025
2010-01-07,78.105,77.615,78.27,77.6,15510.0,0.0058
2010-01-08,77.655,78.2,78.435,77.545,23910.0,-0.0058
2010-01-11,77.16,77.63,77.66,76.945,20210.0,-0.0064
2010-01-12,77.12,77.31,77.46,76.89,25030.0,-0.0005
2010-01-13,76.99,77.265,77.325,76.74,15820.0,-0.0017000000000000001
2010-01-14,76.885,76.92,77.175,76.81,12400.0,-0.0014000000000000002
2010-01-15,77.48,77.01,77.56,76.985,13010.0,0.0077
2010-01-18,77.205,77.5,77.55,77.2,2510.0,-0.0034999999999999996
2010-01-19,77.65,77.165,77.855,77.09,14310.0,0.0058
2010-01-20,78.5,77.675,78.64,77.675,21020.0,0.0109
2010-01-21,78.515,78.495,79.0,78.3,30320.0,0.0002
2010-01-22,78.43,78.515,78.73,78.22,20920.0,-0.0011
2010-01-25,78.35,78.43,78.515,78.2,11290.0,-0.001
2010-01-26,78.61,78.305,78.835,78.235,19400.0,0.0033
2010-01-27,78.87,78.675,79.05,78.53,21110.0,0.0033
2010-01-28,79.1,78.975,79.265,78.75,25040.0,0.0029
2010-01-29,79.65,79.24,79.68,79.07,23630.0,0.006999999999999999
2010-02-01,79.42,79.61,79.76,79.35,18210.0,-0.0029
2010-02-02,79.18,79.41,79.58,79.135,15680.0,-0.003
2010-02-03,79.55,79.145,79.62,78.83,23170.0,0.004699999999999999
2010-02-04,80.075,79.635,80.225,79.51,29020.0,0.0066
2010-02-05,80.595,80.3,80.82,80.095,42760.0,0.006500000000000001
2010-02-08,80.44,80.56,80.665,80.23,27540.0,-0.0019
2010-02-09,79.99,80.53,80.53,79.65,42680.0,-0.005600000000000001
2010-02-10,80.14,79.895,80.435,79.77,29870.0,0.0019
2010-02-11,80.1,80.02,80.6,79.82,32330.0,-0.0005
2010-02-12,80.41,80.18,80.835,80.075,29510.0,0.0039000000000000003
2010-02-15,80.435,80.47,80.615,80.295,2080.0,0.0003
2010-02-16,79.755,80.435,80.445,79.655,25040.0,-0.0085
2010-02-17,80.475,79.72,80.61,79.61,28480.0,0.009000000000000001
2010-02-18,80.465,80.63,81.2,80.255,28130.0,-0.0001
2010-02-19,80.72,81.195,81.43,80.6,23320.0,0.0032
2010-02-22,80.585,80.69,80.745,80.43,12480.0,-0.0017000000000000001
2010-02-23,80.91,80.59,81.05,80.145,25900.0,0.004
2010-02-24,80.915,80.98,80.98,80.41,22220.0,0.0001
2010-02-25,80.86,80.935,81.195,80.7,23740.0,-0.0007000000000000001
2010-02-26,80.44,80.82,80.835,80.19,29020.0,-0.0052
2010-03-01,80.705,80.535,81.315,80.33,26630.0,0.0033
2010-03-02,80.575,80.93,81.34,80.425,26620.0,-0.0016
2010-03-03,80.02,80.445,80.6,79.835,29360.0,-0.0069
2010-03-04,80.585,80.085,80.7,79.97,23700.0,0.0070999999999999995
2010-03-05,80.46,80.58,80.92,80.43,19370.0,-0.0016
2010-03-08,80.455,80.425,80.58,80.1,28840.0,-0.0001
2010-03-09,80.605,80.475,80.88,80.44,24080.0,0.0019
2010-03-10,80.465,80.615,80.865,80.315,31320.0,-0.0017000000000000001
2010-03-11,80.315,80.535,80.57,80.25,30570.0,-0.0019
2010-03-12,79.84,80.3,80.33,79.65,28660.0,-0.0059
2010-03-15,80.175,79.77,80.18,79.765,1020.0,0.0042
2010-03-16,79.995,80.415,80.535,79.85,22660.0,-0.0022
2010-03-17,79.85,79.925,80.075,79.73,21960.0,-0.0018
2010-03-18,80.44,79.95,80.665,79.945,24350.0,0.0074
2010-03-19,80.975,80.485,81.135,80.44,27110.0,0.0067
2010-03-22,80.883,80.975,81.345,80.78,19530.0,-0.0011
2010-03-23,81.118,80.785,81.25,80.775,19870.0,0.0029
2010-03-24,82.106,81.185,82.31,81.125,30190.0,0.012199999999999999
2010-03-25,82.405,82.145,82.52,81.895,24730.0,0.0036
2010-03-26,81.978,82.32,82.32,81.85,24830.0,-0.0052
2010-03-29,81.624,81.62,81.91,81.445,15000.0,-0.0043
2010-03-30,81.738,81.47,81.825,81.235,17160.0,0.0014000000000000002
2010-03-31,81.291,81.67,81.94,81.095,33710.0,-0.0055000000000000005
2010-04-01,80.972,81.215,81.475,80.81,26740.0,-0.0039000000000000003
2010-04-02,81.444,80.875,81.47,80.52,6010.0,0.0058
2010-04-05,81.254,81.285,81.455,81.1,10930.0,-0.0023
2010-04-06,81.57,81.315,81.815,81.315,19240.0,0.0039000000000000003
2010-04-07,81.612,81.615,81.91,81.54,17980.0,0.0005
2010-04-08,81.701,81.805,82.06,81.615,21900.0,0.0011
2010-04-09,81.241,81.575,81.745,81.01,27930.0,-0.005600000000000001
2010-04-12,80.692,80.85,80.85,80.215,20480.0,-0.0068000000000000005
2010-04-13,80.625,80.695,80.885,80.395,16460.0,-0.0008
2010-04-14,80.291,80.555,80.615,80.14,29080.0,-0.0040999999999999995
2010-04-15,80.585,80.28,80.835,80.25,20290.0,0.0037
2010-04-16,80.944,80.635,81.035,80.58,25510.0,0.0045000000000000005
2010-04-19,81.105,81.01,81.39,80.965,18860.0,0.002
2010-04-20,81.141,81.055,81.235,80.86,17130.0,0.0004
2010-04-21,81.266,81.2,81.44,81.065,15060.0,0.0015
2010-04-22,81.682,81.32,81.925,81.14,21230.0,0.0051
2010-04-23,81.498,82.115,82.2,81.45,24670.0,-0.0023
2010-04-26,81.615,81.58,81.845,81.365,13240.0,0.0014000000000000002
2010-04-27,82.31,81.38,82.75,81.36,34230.0,0.0085
2010-04-28,82.535,82.43,82.87,82.16,31160.0,0.0027
2010-04-29,82.161,82.48,82.54,82.035,21450.0,-0.0045000000000000005
2010-04-30,81.991,82.075,82.23,81.745,16630.0,-0.0021
2010-05-03,82.399,82.05,82.69,81.87,13060.0,0.005
2010-05-04,83.421,82.49,83.65,82.405,30920.0,0.0124
2010-05-05,84.2,83.615,84.435,83.47,39600.0,0.009300000000000001
2010-05-06,85.047,84.265,85.46,84.06,68910.0,0.0101
2010-05-07,84.659,84.995,85.355,84.235,69100.0,-0.0046
2010-05-10,84.335,83.9,84.54,83.07,37300.0,-0.0038
2010-05-11,84.613,84.585,84.905,84.33,24660.0,0.0033
2010-05-12,84.967,84.855,85.1,84.33,20440.0,0.0042
2010-05-13,85.342,84.885,85.57,84.66,20770.0,0.0044
2010-05-14,86.231,85.485,86.435,85.335,32380.000000000004,0.0104
2010-05-17,86.377,86.41,87.21,86.2,27770.0,0.0017000000000000001
2010-05-18,87.315,86.37,87.525,86.045,45170.0,0.0109
2010-05-19,86.54,87.595,87.625,86.235,51810.0,-0.0089
2010-05-20,85.706,86.475,86.985,85.555,49470.0,-0.0096
2010-05-21,85.537,85.86,86.2,85.325,35860.0,-0.002
2010-05-24,86.337,85.68,86.63,85.655,18940.0,0.009399999999999999
2010-05-25,86.888,86.6,87.55,86.425,37330.0,0.0064
2010-05-26,87.244,86.725,87.48,86.625,25890.0,0.0040999999999999995
2010-05-27,86.282,87.37,87.375,86.205,30500.0,-0.011000000000000001
2010-05-28,86.582,86.34,86.895,85.935,25260.0,0.0034999999999999996
2010-05-31,86.67,86.86,86.86,86.535,2500.0,0.001
2010-06-01,86.725,86.725,87.58,86.22,28000.0,0.0006
2010-06-02,86.877,86.81,87.265,86.695,17000.0,0.0018
2010-06-03,87.214,86.77,87.35,86.385,19550.0,0.0039000000000000003
2010-06-04,88.315,87.19,88.405,86.975,37180.0,0.0126
2010-06-07,88.463,88.4,88.8,88.23,20710.0,0.0017000000000000001
2010-06-08,88.473,88.545,88.65,88.02,35400.0,0.0001
2010-06-09,87.935,88.185,88.425,87.445,32770.0,-0.0060999999999999995
2010-06-10,87.166,87.94,88.08,86.77,30700.0,-0.0087
2010-06-11,87.517,87.03,87.67,86.96,15860.0,0.004
2010-06-14,86.504,87.4,87.4,86.38,1890.0,-0.0116
2010-06-15,86.29,87.0,87.175,86.19,15980.0,-0.0025
2010-06-16,86.386,86.365,86.705,86.21,15330.0,0.0011
2010-06-17,85.982,86.485,86.81,85.795,20950.0,-0.004699999999999999
2010-06-18,85.976,85.925,86.06,85.735,8430.0,-0.0001
2010-06-21,86.239,85.67,86.345,85.36,19020.0,0.0031
2010-06-22,86.408,86.21,86.545,86.045,15420.0,0.002
2010-06-23,86.048,86.4,86.71,85.905,24350.0,-0.0042
2010-06-24,86.017,86.13,86.28,85.685,18670.0,-0.0004
2010-06-25,85.579,86.0,86.415,85.52,18560.0,-0.0051
2010-06-28,85.922,85.58,86.065,85.475,15190.0,0.004
2010-06-29,86.34,85.91,86.6,85.91,19980.0,0.0049
2010-06-30,86.281,86.48,86.57,85.875,17900.0,-0.0007000000000000001
2010-07-01,84.984,86.45,86.545,84.675,36020.0,-0.015
2010-07-02,84.67,84.855,85.01,84.36,20610.0,-0.0037
2010-07-05,84.862,84.725,84.96,84.56,1580.0,0.0023
