Date,Close,Open,High,Low,Change
2010-01-01,93.04,93.04,93.04,93.04,0.0001
2010-01-04,92.47,92.75,93.21,92.19,-0.006
2010-01-05,91.58,92.47,92.51,91.25,-0.0097
2010-01-06,92.38,91.56,92.74,91.53,0.0087
2010-01-07,93.45,92.36,93.77,92.11,0.0116
2010-01-08,92.68,93.46,93.67,92.28,-0.0083
2010-01-11,92.11,92.36,92.66,91.82,-0.0060999999999999995
2010-01-12,91.11,92.11,92.43,90.72,-0.0109
2010-01-13,91.39,91.11,91.55,90.9,0.0031
2010-01-14,91.26,91.4,92.04,90.85,-0.0014000000000000002
2010-01-15,90.78,91.28,91.32,90.6,-0.0053
2010-01-18,90.71,90.85,91.06,90.57,-0.0007000000000000001
2010-01-19,91.21,90.71,91.26,90.32,0.0055000000000000005
2010-01-20,91.21,91.21,91.46,90.79,0.0
2010-01-21,90.45,91.2,91.87,89.88,-0.0083
2010-01-22,89.85,90.43,90.57,89.8,-0.0067
2010-01-25,90.42,90.0,90.47,89.83,0.0063
2010-01-26,89.65,90.42,90.56,89.35,-0.0085
2010-01-27,89.97,89.64,90.09,89.14,0.0036
2010-01-28,89.79,89.97,90.55,89.63,-0.002
2010-01-29,90.29,89.8,90.93,89.59,0.0055000000000000005
2010-02-01,90.76,90.25,90.94,90.0,0.0053
2010-02-02,90.45,90.77,90.91,90.26,-0.0034000000000000002
2010-02-03,90.89,90.45,91.28,90.08,0.0049
2010-02-04,89.38,90.89,91.08,88.55,-0.0166
2010-02-05,89.22,89.38,89.89,88.83,-0.0017000000000000001
2010-02-08,89.23,89.27,89.56,89.15,0.0001
2010-02-09,89.82,89.23,89.94,89.22,0.0066
2010-02-10,89.92,89.82,90.06,89.25,0.0011
2010-02-11,89.71,89.92,90.14,89.57,-0.0023
2010-02-12,89.94,90.2,90.41,89.62,0.0026
2010-02-15,90.06,90.07,90.24,89.91,0.0013
2010-02-16,90.25,90.06,90.51,89.71,0.0022
2010-02-17,91.08,90.25,91.39,90.15,0.0091
2010-02-18,91.98,91.09,92.1,90.57,0.009899999999999999
2010-02-19,91.54,91.97,92.14,91.5,-0.0048
2010-02-22,91.27,91.63,91.9,91.02,-0.0029
2010-02-23,90.17,91.26,91.29,89.92,-0.0121
2010-02-24,90.29,90.17,90.36,89.77,0.0013
2010-02-25,89.3,90.29,90.29,88.8,-0.011000000000000001
2010-02-26,88.94,89.29,89.5,88.75,-0.004
2010-03-01,89.18,88.86,89.48,88.81,0.0027
2010-03-02,88.77,89.18,89.38,88.55,-0.004699999999999999
2010-03-03,88.61,88.78,88.99,88.32,-0.0017000000000000001
2010-03-04,89.19,88.6,89.26,88.14,0.006500000000000001
2010-03-05,90.31,89.17,90.59,89.16,0.0125
2010-03-08,90.31,90.61,90.66,90.15,0.0
2010-03-09,90.0,90.31,90.31,89.64,-0.0034000000000000002
2010-03-10,90.5,90.01,90.82,89.94,0.0055000000000000005
2010-03-11,90.68,90.5,90.75,90.21,0.002
2010-03-12,90.57,90.67,91.08,90.17,-0.0012
2010-03-15,90.33,90.7,90.8,90.28,-0.0025
2010-03-16,90.32,90.33,90.73,89.99,-0.0002
2010-03-17,90.42,90.32,90.71,90.04,0.0011
2010-03-18,90.49,90.42,90.8,89.76,0.0008
2010-03-19,90.54,90.49,90.71,90.34,0.0007000000000000001
2010-03-22,90.32,90.44,90.77,89.83,-0.0024
2010-03-23,90.42,90.32,90.47,90.13,0.001
2010-03-24,92.01,90.42,92.4,90.39,0.0177
2010-03-25,92.54,92.01,92.96,91.76,0.005699999999999999
2010-03-26,92.53,92.54,92.9,92.31,-0.0001
2010-03-29,92.43,92.4,92.79,92.35,-0.0011
