Date,Close,Open,High,Low,Change
2010-01-01,1166.08,1166.08,1166.08,1166.08,0.0
2010-01-04,1150.0,1164.07,1164.07,1149.35,-0.0138
2010-01-05,1140.2,1151.0,1151.0,1136.3,-0.0085
2010-01-06,1129.2,1140.2,1144.7,1129.2,-0.0096
2010-01-07,1138.2,1129.2,1138.2,1127.8,0.008
2010-01-08,1128.25,1135.5,1138.0,1128.25,-0.0087
2010-01-11,1120.5,1124.7,1125.4,1115.4,-0.0069
2010-01-12,1120.75,1119.7,1127.3,1117.3,0.0002
2010-01-13,1123.0,1120.75,1130.6,1118.8,0.002
2010-01-14,1123.0,1122.5,1123.9,1118.4,0.0
2010-01-15,1123.5,1123.0,1125.3,1120.86,0.0004
2010-01-18,1124.6,1120.7,1129.0,1120.7,0.001
2010-01-19,1130.3,1124.6,1130.4,1121.9,0.0051
2010-01-20,1144.3,1127.3,1144.3,1126.9,0.0124
2010-01-21,1145.0,1142.5,1145.0,1136.75,0.0006
2010-01-22,1154.0,1144.0,1155.9,1143.49,0.0079
2010-01-25,1147.0,1151.3,1154.0,1146.05,-0.0060999999999999995
2010-01-26,1157.5,1147.0,1166.9,1142.85,0.0092
2010-01-27,1161.3,1160.5,1167.5,1155.55,0.0033
2010-01-28,1150.3,1161.3,1164.0,1148.1,-0.0095
2010-01-29,1158.9,1152.2,1161.7,1149.5,0.0075
2010-02-01,1166.25,1159.8,1175.2,1159.2,0.0063
2010-02-02,1160.0,1166.25,1166.25,1156.35,-0.0054
2010-02-03,1148.7,1159.6,1159.6,1144.6,-0.0097
2010-02-04,1146.9,1148.7,1156.9,1146.9,-0.0016
2010-02-05,1169.95,1146.9,1177.9,1146.9,0.020099999999999996
2010-02-08,1172.45,1171.55,1175.95,1170.65,0.0021
2010-02-09,1156.95,1172.95,1174.65,1156.95,-0.0132
2010-02-10,1162.0,1157.3,1163.0,1154.8,0.0044
2010-02-11,1153.2,1162.0,1163.4,1152.8,-0.0076
2010-02-12,1152.5,1153.7,1158.6,1151.4,-0.0006
2010-02-15,1147.3,1147.3,1147.3,1147.3,-0.0045000000000000005
2010-02-16,1147.0,1147.3,1157.3,1147.0,-0.0003
2010-02-17,1144.5,1147.0,1147.0,1140.9,-0.0022
2010-02-18,1145.7,1144.5,1153.4,1140.8,0.001
2010-02-19,1152.7,1147.2,1162.2,1147.2,0.0060999999999999995
2010-02-22,1149.5,1150.5,1152.7,1144.5,-0.0028000000000000004
2010-02-23,1158.2,1149.5,1158.2,1145.8,0.0076
2010-02-24,1156.75,1155.75,1159.55,1148.95,-0.0013
2010-02-25,1164.2,1154.2,1169.2,1150.9,0.0064
2010-02-26,1160.0,1164.2,1166.0,1158.35,-0.0036
2010-03-01,1154.0,1158.0,1160.8,1154.0,-0.0052
2010-03-02,1145.0,1154.0,1155.0,1145.0,-0.0078000000000000005
2010-03-03,1142.25,1149.25,1149.25,1141.75,-0.0024
2010-03-04,1144.0,1142.5,1147.4,1141.8,0.0015
2010-03-05,1140.5,1144.0,1145.9,1140.15,-0.0031
2010-03-08,1132.5,1137.0,1137.0,1130.9,-0.006999999999999999
2010-03-09,1135.16,1131.11,1136.7,1129.8,0.0023
2010-03-10,1129.57,1133.97,1136.07,1128.57,-0.0049
2010-03-11,1132.6,1130.33,1136.3,1127.0,0.0027
2010-03-12,1129.04,1131.71,1134.11,1126.54,-0.0031
2010-03-15,1134.7,1126.9,1137.0,1126.8,0.005
2010-03-16,1134.5,1133.5,1135.8,1130.4,-0.0002
2010-03-17,1128.8,1131.0,1133.5,1127.8,-0.005
2010-03-18,1134.6,1130.9,1135.0,1127.4,0.0051
2010-03-19,1133.59,1134.59,1134.91,1129.8,-0.0009
2010-03-22,1135.7,1134.1,1138.3,1134.0,0.0019
2010-03-23,1136.5,1130.4,1137.5,1130.3,0.0007000000000000001
2010-03-24,1138.0,1134.9,1139.2,1134.7,0.0013
2010-03-25,1142.5,1138.1,1143.9,1138.0,0.004
2010-03-26,1139.0,1143.9,1145.51,1138.9,-0.0031
2010-03-29,1135.5,1139.4,1142.4,1134.4,-0.0031
2010-03-30,1131.7,1128.9,1133.1,1128.9,-0.0033
2010-03-31,1132.8,1133.0,1135.8,1130.9,0.001
2010-04-01,1126.35,1129.95,1130.95,1125.25,-0.005699999999999999
2010-04-02,1126.0,1123.1,1126.0,1121.7,-0.0003
2010-04-05,1123.0,1125.9,1128.2,1122.3,-0.0027
2010-04-06,1124.55,1121.75,1124.91,1121.65,0.0014000000000000002
2010-04-07,1122.55,1122.55,1123.45,1120.55,-0.0018
2010-04-08,1123.5,1121.3,1125.5,1121.3,0.0008
2010-04-09,1117.5,1119.4,1121.4,1117.5,-0.0053
2010-04-12,1115.55,1117.65,1117.65,1111.75,-0.0017000000000000001
2010-04-13,1123.9,1114.0,1125.7,1113.9,0.0075
2010-04-14,1111.75,1123.65,1124.25,1111.1,-0.0108
2010-04-15,1109.75,1111.15,1111.55,1107.55,-0.0018
2010-04-16,1110.5,1108.3,1116.2,1108.3,0.0007000000000000001
2010-04-19,1118.4,1111.7,1119.1,1111.7,0.0070999999999999995
2010-04-20,1117.95,1113.95,1118.35,1113.65,-0.0004
2010-04-21,1107.75,1112.85,1113.45,1107.15,-0.0091
2010-04-22,1108.4,1109.1,1113.0,1107.1,0.0006
2010-04-23,1108.95,1109.65,1112.05,1108.55,0.0005
2010-04-26,1104.45,1107.65,1107.65,1103.15,-0.0040999999999999995
2010-04-27,1110.5,1105.5,1114.63,1103.3,0.0055000000000000005
2010-04-28,1119.0,1118.9,1123.5,1116.2,0.0077
2010-04-29,1114.95,1116.15,1116.65,1114.05,-0.0036
2010-04-30,1108.5,1107.4,1110.4,1107.4,-0.0058
2010-05-03,1118.55,1109.05,1120.25,1107.95,0.0091
2010-05-04,1115.5,1112.3,1117.4,1111.4,-0.0027
2010-05-05,1115.5,1115.5,1115.5,1115.5,0.0
2010-05-06,1141.15,1144.25,1144.25,1133.05,0.023
2010-05-07,1155.45,1155.05,1169.55,1144.95,0.0125
2010-05-10,1132.05,1148.25,1148.25,1127.15,-0.0203
2010-05-11,1134.75,1131.65,1137.65,1124.55,0.0024
2010-05-12,1135.05,1136.25,1146.35,1130.45,0.0003
2010-05-13,1130.5,1134.5,1134.5,1127.2,-0.004
2010-05-14,1131.0,1132.9,1138.7,1127.9,0.0004
2010-05-17,1153.25,1145.75,1157.85,1142.75,0.0197
2010-05-18,1146.5,1152.3,1153.75,1145.3,-0.0059
2010-05-19,1164.9,1156.4,1168.5,1156.4,0.016
2010-05-20,1194.25,1175.75,1197.18,1168.51,0.0252
2010-05-21,1194.0,1194.5,1194.5,1194.0,-0.0002
2010-05-24,1214.65,1212.9,1221.25,1203.9,0.0173
